date,search_interest_rescaled
2021-08-01,73
2021-08-08,72
2021-08-15,71
2021-08-22,73
2021-08-29,73
2021-09-05,73
2021-09-12,76
2021-09-19,76
2021-09-26,72
2021-10-03,80
2021-10-10,76
2021-10-17,76
2021-10-24,77
2021-10-31,74
2021-11-07,81
2021-11-14,85
2021-11-21,93
2021-11-28,100
2021-12-05,93
2021-12-12,93
2021-12-19,86
2021-12-26,82
2022-01-02,83
2022-01-09,78
2022-01-16,78
2022-01-23,73
2022-01-30,79
2022-02-06,74
2022-02-13,71
2022-02-20,71
2022-02-27,72
2022-03-06,72
2022-03-13,70
2022-03-20,71
2022-03-27,72
2022-04-03,70
2022-04-10,72
2022-04-17,68
2022-04-24,73
2022-05-01,80
2022-05-08,71
2022-05-15,70
2022-05-22,71
2022-05-29,68
2022-06-05,71
2022-06-12,72
2022-06-19,75
2022-06-26,71
2022-07-03,76
2022-07-10,94
2022-07-17,79
2022-07-24,75
2022-07-31,77
2022-08-07,77
2022-08-14,77
2022-08-21,76
2022-08-28,73
2022-09-04,78
2022-09-11,75
2022-09-18,78
2022-09-25,78
2022-10-02,77
2022-10-09,86
2022-10-16,77
2022-10-23,75
2022-10-30,76
2022-11-06,81
2022-11-13,88
2022-11-20,94
2022-11-27,94
2022-12-04,91
2022-12-11,92
2022-12-18,84
2022-12-25,89
2023-01-01,82
2023-01-08,77
2023-01-15,76
2023-01-22,75
2023-01-29,75
2023-02-05,77
2023-02-12,71
2023-02-19,71
2023-02-26,70
2023-03-05,73
2023-03-12,68
2023-03-19,67
2023-03-26,73
2023-04-02,71
2023-04-09,71
2023-04-16,69
2023-04-23,73
2023-04-30,69
2023-05-07,70
2023-05-14,66
2023-05-21,74
2023-05-28,71
2023-06-04,73
2023-06-11,74
2023-06-18,73
2023-06-25,75
2023-07-02,79
2023-07-09,96
2023-07-16,72
2023-07-23,67
2023-07-30,73
2023-08-06,74
2023-08-13,73
2023-08-20,69
2023-08-27,72
2023-09-03,73
2023-09-10,72
2023-09-17,71
2023-09-24,67
2023-10-01,75
2023-10-08,87
2023-10-15,78
2023-10-22,73
2023-10-29,70
2023-11-05,78
2023-11-12,82
2023-11-19,92
2023-11-26,95
2023-12-03,91
2023-12-10,91
2023-12-17,85
2023-12-24,79
2023-12-31,77
2024-01-07,71
2024-01-14,71
2024-01-21,69
2024-01-28,70
2024-02-04,68
2024-02-11,65
2024-02-18,66
2024-02-25,62
2024-03-03,66
2024-03-10,64
2024-03-17,66
2024-03-24,67
2024-03-31,67
2024-04-07,66
2024-04-14,66
2024-04-21,64
2024-04-28,70
2024-05-05,67
2024-05-12,66
2024-05-19,66
2024-05-26,69
2024-06-02,65
2024-06-09,68
2024-06-16,67
2024-06-23,66
2024-06-30,67
2024-07-07,69
2024-07-14,90
2024-07-21,71
2024-07-28,66
2024-08-04,66
2024-08-11,68
2024-08-18,69
2024-08-25,68
2024-09-01,66
2024-09-08,66
2024-09-15,66
2024-09-22,68
2024-09-29,69
2024-10-06,73
2024-10-13,68
2024-10-20,65
2024-10-27,63
2024-11-03,65
2024-11-10,66
2024-11-17,76
2024-11-24,86
2024-12-01,82
2024-12-08,81
2024-12-15,76
2024-12-22,69
2024-12-29,70
2025-01-05,64
2025-01-12,64
2025-01-19,63
2025-01-26,62
2025-02-02,59
2025-02-09,60
2025-02-16,57
2025-02-23,57
2025-03-02,60
2025-03-09,61
2025-03-16,61
2025-03-23,60
2025-03-30,61
2025-04-06,59
2025-04-13,59
2025-04-20,57
2025-04-27,61
2025-05-04,58
2025-05-11,58
2025-05-18,60
2025-05-25,59
2025-06-01,62
2025-06-08,61
2025-06-15,60
2025-06-22,61
2025-06-29,60
2025-07-06,74
2025-07-13,70
2025-07-20,70
2025-07-27,67
2025-08-03,69
2025-08-10,71
2025-08-17,70
2025-08-24,68
2025-08-31,68
2025-09-07,64
2025-09-14,66
2025-09-21,72
2025-09-28,72
2025-10-05,77
2025-10-12,66
2025-10-19,70
2025-10-26,70
2025-11-02,71
2025-11-09,76
2025-11-16,80
2025-11-23,92
2025-11-30,83
2025-12-07,77
2025-12-14,80
2025-12-21,68
2025-12-28,67
2026-01-04,64
2026-01-11,62
2026-01-18,61
2026-01-25,63
2026-02-01,62
2026-02-08,60
2026-02-15,56
2026-02-22,60
2026-03-01,61
2026-03-08,60
2026-03-15,62
2026-03-22,66
2026-03-29,74
2026-04-05,69
2026-04-12,68
2026-04-19,63
2026-04-26,65
2026-05-03,66
2026-05-10,67
2026-05-17,69
2026-05-24,70
2026-05-31,79
2026-06-07,70
2026-06-14,72
2026-06-21,77
2026-06-28,71
2026-07-05,71
2026-07-12,64
2026-07-19,66
2026-07-26,64
