date,search_interest_rescaled
2021-08-01,7
2021-08-08,7
2021-08-15,6
2021-08-22,6
2021-08-29,7
2021-09-05,6
2021-09-12,7
2021-09-19,8
2021-09-26,7
2021-10-03,7
2021-10-10,7
2021-10-17,6
2021-10-24,7
2021-10-31,6
2021-11-07,5
2021-11-14,6
2021-11-21,6
2021-11-28,7
2021-12-05,7
2021-12-12,7
2021-12-19,6
2021-12-26,6
2022-01-02,7
2022-01-09,7
2022-01-16,7
2022-01-23,7
2022-01-30,16
2022-02-06,12
2022-02-13,13
2022-02-20,13
2022-02-27,13
2022-03-06,13
2022-03-13,11
2022-03-20,14
2022-03-27,15
2022-04-03,15
2022-04-10,12
2022-04-17,13
2022-04-24,13
2022-05-01,12
2022-05-08,12
2022-05-15,13
2022-05-22,11
2022-05-29,12
2022-06-05,14
2022-06-12,14
2022-06-19,13
2022-06-26,14
2022-07-03,13
2022-07-10,14
2022-07-17,15
2022-07-24,15
2022-07-31,18
2022-08-07,16
2022-08-14,16
2022-08-21,14
2022-08-28,16
2022-09-04,14
2022-09-11,15
2022-09-18,15
2022-09-25,15
2022-10-02,16
2022-10-09,14
2022-10-16,13
2022-10-23,14
2022-10-30,13
2022-11-06,11
2022-11-13,13
2022-11-20,10
2022-11-27,13
2022-12-04,13
2022-12-11,15
2022-12-18,13
2022-12-25,14
2023-01-01,15
2023-01-08,15
2023-01-15,13
2023-01-22,16
2023-01-29,15
2023-02-05,13
2023-02-12,14
2023-02-19,13
2023-02-26,12
2023-03-05,12
2023-03-12,11
2023-03-19,12
2023-03-26,11
2023-04-02,12
2023-04-09,10
2023-04-16,13
2023-04-23,11
2023-04-30,12
2023-05-07,10
2023-05-14,10
2023-05-21,9
2023-05-28,11
2023-06-04,11
2023-06-11,10
2023-06-18,11
2023-06-25,11
2023-07-02,10
2023-07-09,12
2023-07-16,12
2023-07-23,11
2023-07-30,13
2023-08-06,12
2023-08-13,12
2023-08-20,10
2023-08-27,10
2023-09-03,10
2023-09-10,10
2023-09-17,11
2023-09-24,11
2023-10-01,10
2023-10-08,10
2023-10-15,10
2023-10-22,10
2023-10-29,9
2023-11-05,11
2023-11-12,10
2023-11-19,7
2023-11-26,10
2023-12-03,10
2023-12-10,9
2023-12-17,9
2023-12-24,8
2023-12-31,8
2024-01-07,10
2024-01-14,10
2024-01-21,12
2024-01-28,12
2024-02-04,11
2024-02-11,12
2024-02-18,12
2024-02-25,18
2024-03-03,15
2024-03-10,12
2024-03-17,14
2024-03-24,16
2024-03-31,15
2024-04-07,14
2024-04-14,13
2024-04-21,13
2024-04-28,13
2024-05-05,15
2024-05-12,18
2024-05-19,17
2024-05-26,14
2024-06-02,16
2024-06-09,16
2024-06-16,16
2024-06-23,15
2024-06-30,16
2024-07-07,18
2024-07-14,16
2024-07-21,16
2024-07-28,16
2024-08-04,15
2024-08-11,13
2024-08-18,14
2024-08-25,14
2024-09-01,12
2024-09-08,14
2024-09-15,27
2024-09-22,30
2024-09-29,26
2024-10-06,21
2024-10-13,24
2024-10-20,21
2024-10-27,19
2024-11-03,28
2024-11-10,20
2024-11-17,19
2024-11-24,15
2024-12-01,16
2024-12-08,17
2024-12-15,14
2024-12-22,11
2024-12-29,22
2025-01-05,45
2025-01-12,31
2025-01-19,28
2025-01-26,47
2025-02-02,25
2025-02-09,22
2025-02-16,23
2025-02-23,22
2025-03-02,21
2025-03-09,21
2025-03-16,18
2025-03-23,16
2025-03-30,19
2025-04-06,19
2025-04-13,16
2025-04-20,15
2025-04-27,18
2025-05-04,18
2025-05-11,16
2025-05-18,22
2025-05-25,18
2025-06-01,48
2025-06-08,25
2025-06-15,19
2025-06-22,22
2025-06-29,20
2025-07-06,21
2025-07-13,25
2025-07-20,25
2025-07-27,32
2025-08-03,54
2025-08-10,66
2025-08-17,53
2025-08-24,45
2025-08-31,39
2025-09-07,42
2025-09-14,38
2025-09-21,51
2025-09-28,50
2025-10-05,44
2025-10-12,45
2025-10-19,46
2025-10-26,40
2025-11-02,43
2025-11-09,38
2025-11-16,48
2025-11-23,34
2025-11-30,35
2025-12-07,32
2025-12-14,36
2025-12-21,23
2025-12-28,30
2026-01-04,43
2026-01-11,51
2026-01-18,55
2026-01-25,52
2026-02-01,55
2026-02-08,44
2026-02-15,48
2026-02-22,46
2026-03-01,55
2026-03-08,51
2026-03-15,54
2026-03-22,49
2026-03-29,56
2026-04-05,52
2026-04-12,54
2026-04-19,54
2026-04-26,52
2026-05-03,73
2026-05-10,86
2026-05-17,70
2026-05-24,76
2026-05-31,100
2026-06-07,71
2026-06-14,66
2026-06-21,65
2026-06-28,75
2026-07-05,64
2026-07-12,45
2026-07-19,39
2026-07-26,34
