date,search_interest_rescaled
2021-08-01,66
2021-08-08,67
2021-08-15,68
2021-08-22,68
2021-08-29,63
2021-09-05,65
2021-09-12,66
2021-09-19,61
2021-09-26,65
2021-10-03,60
2021-10-10,76
2021-10-17,71
2021-10-24,62
2021-10-31,61
2021-11-07,63
2021-11-14,64
2021-11-21,54
2021-11-28,58
2021-12-05,56
2021-12-12,57
2021-12-19,49
2021-12-26,47
2022-01-02,52
2022-01-09,53
2022-01-16,47
2022-01-23,50
2022-01-30,53
2022-02-06,54
2022-02-13,53
2022-02-20,50
2022-02-27,51
2022-03-06,54
2022-03-13,57
2022-03-20,64
2022-03-27,61
2022-04-03,63
2022-04-10,69
2022-04-17,68
2022-04-24,71
2022-05-01,71
2022-05-08,76
2022-05-15,73
2022-05-22,69
2022-05-29,72
2022-06-05,68
2022-06-12,67
2022-06-19,66
2022-06-26,76
2022-07-03,70
2022-07-10,63
2022-07-17,61
2022-07-24,59
2022-07-31,61
2022-08-07,60
2022-08-14,63
2022-08-21,61
2022-08-28,66
2022-09-04,56
2022-09-11,58
2022-09-18,56
2022-09-25,55
2022-10-02,55
2022-10-09,55
2022-10-16,54
2022-10-23,56
2022-10-30,57
2022-11-06,53
2022-11-13,52
2022-11-20,46
2022-11-27,48
2022-12-04,45
2022-12-11,46
2022-12-18,47
2022-12-25,44
2023-01-01,47
2023-01-08,45
2023-01-15,46
2023-01-22,48
2023-01-29,47
2023-02-05,46
2023-02-12,47
2023-02-19,50
2023-02-26,50
2023-03-05,54
2023-03-12,51
2023-03-19,54
2023-03-26,56
2023-04-02,57
2023-04-09,66
2023-04-16,66
2023-04-23,64
2023-04-30,65
2023-05-07,68
2023-05-14,70
2023-05-21,67
2023-05-28,65
2023-06-04,66
2023-06-11,61
2023-06-18,61
2023-06-25,60
2023-07-02,81
2023-07-09,70
2023-07-16,61
2023-07-23,61
2023-07-30,61
2023-08-06,59
2023-08-13,60
2023-08-20,59
2023-08-27,58
2023-09-03,57
2023-09-10,56
2023-09-17,56
2023-09-24,56
2023-10-01,55
2023-10-08,57
2023-10-15,53
2023-10-22,56
2023-10-29,52
2023-11-05,53
2023-11-12,56
2023-11-19,48
2023-11-26,49
2023-12-03,51
2023-12-10,48
2023-12-17,44
2023-12-24,43
2023-12-31,43
2024-01-07,46
2024-01-14,49
2024-01-21,44
2024-01-28,47
2024-02-04,50
2024-02-11,49
2024-02-18,51
2024-02-25,55
2024-03-03,54
2024-03-10,55
2024-03-17,59
2024-03-24,59
2024-03-31,60
2024-04-07,63
2024-04-14,66
2024-04-21,69
2024-04-28,69
2024-05-05,68
2024-05-12,67
2024-05-19,66
2024-05-26,66
2024-06-02,67
2024-06-09,65
2024-06-16,61
2024-06-23,62
2024-06-30,82
2024-07-07,81
2024-07-14,63
2024-07-21,64
2024-07-28,60
2024-08-04,61
2024-08-11,60
2024-08-18,61
2024-08-25,59
2024-09-01,56
2024-09-08,57
2024-09-15,52
2024-09-22,57
2024-09-29,55
2024-10-06,56
2024-10-13,53
2024-10-20,54
2024-10-27,53
2024-11-03,51
2024-11-10,51
2024-11-17,52
2024-11-24,49
2024-12-01,52
2024-12-08,48
2024-12-15,45
2024-12-22,42
2024-12-29,42
2025-01-05,45
2025-01-12,48
2025-01-19,44
2025-01-26,44
2025-02-02,49
2025-02-09,45
2025-02-16,47
2025-02-23,47
2025-03-02,53
2025-03-09,53
2025-03-16,56
2025-03-23,60
2025-03-30,66
2025-04-06,67
2025-04-13,68
2025-04-20,71
2025-04-27,72
2025-05-04,70
2025-05-11,69
2025-05-18,70
2025-05-25,67
2025-06-01,81
2025-06-08,69
2025-06-15,66
2025-06-22,68
2025-06-29,83
2025-07-06,82
2025-07-13,70
2025-07-20,66
2025-07-27,66
2025-08-03,69
2025-08-10,74
2025-08-17,69
2025-08-24,71
2025-08-31,65
2025-09-07,60
2025-09-14,63
2025-09-21,62
2025-09-28,65
2025-10-05,61
2025-10-12,62
2025-10-19,61
2025-10-26,55
2025-11-02,57
2025-11-09,62
2025-11-16,59
2025-11-23,55
2025-11-30,56
2025-12-07,54
2025-12-14,51
2025-12-21,43
2025-12-28,47
2026-01-04,50
2026-01-11,48
2026-01-18,49
2026-01-25,55
2026-02-01,51
2026-02-08,52
2026-02-15,54
2026-02-22,59
2026-03-01,60
2026-03-08,65
2026-03-15,68
2026-03-22,75
2026-03-29,91
2026-04-05,99
2026-04-12,100
2026-04-19,88
2026-04-26,87
2026-05-03,87
2026-05-10,85
2026-05-17,89
2026-05-24,85
2026-05-31,90
2026-06-07,92
2026-06-14,85
2026-06-21,79
2026-06-28,93
2026-07-05,88
2026-07-12,69
2026-07-19,68
2026-07-26,68
