date,search_interest_rescaled
2021-08-01,72
2021-08-08,71
2021-08-15,69
2021-08-22,68
2021-08-29,69
2021-09-05,68
2021-09-12,66
2021-09-19,68
2021-09-26,70
2021-10-03,70
2021-10-10,71
2021-10-17,67
2021-10-24,71
2021-10-31,70
2021-11-07,82
2021-11-14,77
2021-11-21,76
2021-11-28,77
2021-12-05,78
2021-12-12,86
2021-12-19,88
2021-12-26,100
2022-01-02,93
2022-01-09,92
2022-01-16,79
2022-01-23,86
2022-01-30,81
2022-02-06,82
2022-02-13,78
2022-02-20,78
2022-02-27,76
2022-03-06,78
2022-03-13,83
2022-03-20,81
2022-03-27,90
2022-04-03,82
2022-04-10,88
2022-04-17,83
2022-04-24,78
2022-05-01,80
2022-05-08,76
2022-05-15,73
2022-05-22,80
2022-05-29,78
2022-06-05,82
2022-06-12,89
2022-06-19,88
2022-06-26,81
2022-07-03,78
2022-07-10,76
2022-07-17,79
2022-07-24,77
2022-07-31,79
2022-08-07,82
2022-08-14,76
2022-08-21,75
2022-08-28,71
2022-09-04,88
2022-09-11,93
2022-09-18,84
2022-09-25,89
2022-10-02,84
2022-10-09,81
2022-10-16,78
2022-10-23,77
2022-10-30,81
2022-11-06,80
2022-11-13,81
2022-11-20,83
2022-11-27,78
2022-12-04,82
2022-12-11,81
2022-12-18,80
2022-12-25,96
2023-01-01,92
2023-01-08,85
2023-01-15,79
2023-01-22,82
2023-01-29,81
2023-02-05,78
2023-02-12,77
2023-02-19,72
2023-02-26,76
2023-03-05,72
2023-03-12,73
2023-03-19,72
2023-03-26,75
2023-04-02,79
2023-04-09,76
2023-04-16,80
2023-04-23,76
2023-04-30,75
2023-05-07,68
2023-05-14,77
2023-05-21,70
2023-05-28,73
2023-06-04,79
2023-06-11,75
2023-06-18,75
2023-06-25,75
2023-07-02,72
2023-07-09,76
2023-07-16,76
2023-07-23,71
2023-07-30,75
2023-08-06,73
2023-08-13,73
2023-08-20,69
2023-08-27,70
2023-09-03,75
2023-09-10,75
2023-09-17,76
2023-09-24,72
2023-10-01,80
2023-10-08,83
2023-10-15,90
2023-10-22,89
2023-10-29,93
2023-11-05,87
2023-11-12,83
2023-11-19,83
2023-11-26,81
2023-12-03,79
2023-12-10,75
2023-12-17,79
2023-12-24,90
2023-12-31,82
2024-01-07,74
2024-01-14,73
2024-01-21,71
2024-01-28,68
2024-02-04,75
2024-02-11,71
2024-02-18,69
2024-02-25,71
2024-03-03,68
2024-03-10,67
2024-03-17,68
2024-03-24,76
2024-03-31,73
2024-04-07,72
2024-04-14,65
2024-04-21,65
2024-04-28,65
2024-05-05,63
2024-05-12,65
2024-05-19,63
2024-05-26,65
2024-06-02,66
2024-06-09,69
2024-06-16,72
2024-06-23,73
2024-06-30,70
2024-07-07,69
2024-07-14,70
2024-07-21,73
2024-07-28,70
2024-08-04,70
2024-08-11,82
2024-08-18,76
2024-08-25,73
2024-09-01,73
2024-09-08,72
2024-09-15,74
2024-09-22,75
2024-09-29,74
2024-10-06,79
2024-10-13,76
2024-10-20,75
2024-10-27,76
2024-11-03,67
2024-11-10,78
2024-11-17,77
2024-11-24,79
2024-12-01,83
2024-12-08,79
2024-12-15,78
2024-12-22,92
2024-12-29,91
2025-01-05,78
2025-01-12,77
2025-01-19,76
2025-01-26,73
2025-02-02,73
2025-02-09,74
2025-02-16,76
2025-02-23,73
2025-03-02,77
2025-03-09,79
2025-03-16,76
2025-03-23,80
2025-03-30,78
2025-04-06,73
2025-04-13,69
2025-04-20,71
2025-04-27,67
2025-05-04,71
2025-05-11,69
2025-05-18,71
2025-05-25,75
2025-06-01,70
2025-06-08,69
2025-06-15,70
2025-06-22,69
2025-06-29,73
2025-07-06,70
2025-07-13,67
2025-07-20,69
2025-07-27,70
2025-08-03,75
2025-08-10,73
2025-08-17,75
2025-08-24,72
2025-08-31,74
2025-09-07,67
2025-09-14,77
2025-09-21,87
2025-09-28,75
2025-10-05,71
2025-10-12,72
2025-10-19,73
2025-10-26,75
2025-11-02,79
2025-11-09,79
2025-11-16,76
2025-11-23,83
2025-11-30,79
2025-12-07,76
2025-12-14,80
2025-12-21,89
2025-12-28,85
2026-01-04,83
2026-01-11,77
2026-01-18,71
2026-01-25,72
2026-02-01,73
2026-02-08,75
2026-02-15,79
2026-02-22,79
2026-03-01,76
2026-03-08,75
2026-03-15,79
2026-03-22,80
2026-03-29,83
2026-04-05,84
2026-04-12,79
2026-04-19,77
2026-04-26,80
2026-05-03,86
2026-05-10,83
2026-05-17,73
2026-05-24,75
2026-05-31,79
2026-06-07,79
2026-06-14,80
2026-06-21,74
2026-06-28,72
2026-07-05,72
2026-07-12,70
2026-07-19,72
2026-07-26,71
