date,search_interest_rescaled
2021-08-01,62
2021-08-08,58
2021-08-15,60
2021-08-22,67
2021-08-29,58
2021-09-05,64
2021-09-12,73
2021-09-19,64
2021-09-26,60
2021-10-03,67
2021-10-10,65
2021-10-17,71
2021-10-24,66
2021-10-31,63
2021-11-07,65
2021-11-14,65
2021-11-21,60
2021-11-28,61
2021-12-05,68
2021-12-12,59
2021-12-19,52
2021-12-26,56
2022-01-02,67
2022-01-09,72
2022-01-16,63
2022-01-23,71
2022-01-30,99
2022-02-06,78
2022-02-13,68
2022-02-20,63
2022-02-27,67
2022-03-06,65
2022-03-13,66
2022-03-20,65
2022-03-27,74
2022-04-03,63
2022-04-10,66
2022-04-17,62
2022-04-24,61
2022-05-01,62
2022-05-08,67
2022-05-15,57
2022-05-22,55
2022-05-29,60
2022-06-05,59
2022-06-12,61
2022-06-19,66
2022-06-26,60
2022-07-03,56
2022-07-10,60
2022-07-17,65
2022-07-24,65
2022-07-31,76
2022-08-07,76
2022-08-14,61
2022-08-21,61
2022-08-28,54
2022-09-04,53
2022-09-11,54
2022-09-18,59
2022-09-25,58
2022-10-02,60
2022-10-09,59
2022-10-16,53
2022-10-23,58
2022-10-30,58
2022-11-06,57
2022-11-13,58
2022-11-20,44
2022-11-27,54
2022-12-04,53
2022-12-11,52
2022-12-18,45
2022-12-25,44
2023-01-01,48
2023-01-08,61
2023-01-15,53
2023-01-22,59
2023-01-29,60
2023-02-05,61
2023-02-12,61
2023-02-19,52
2023-02-26,56
2023-03-05,55
2023-03-12,58
2023-03-19,56
2023-03-26,59
2023-04-02,50
2023-04-09,56
2023-04-16,51
2023-04-23,55
2023-04-30,58
2023-05-07,56
2023-05-14,49
2023-05-21,56
2023-05-28,57
2023-06-04,57
2023-06-11,57
2023-06-18,51
2023-06-25,51
2023-07-02,48
2023-07-09,53
2023-07-16,51
2023-07-23,53
2023-07-30,56
2023-08-06,55
2023-08-13,51
2023-08-20,49
2023-08-27,49
2023-09-03,47
2023-09-10,54
2023-09-17,53
2023-09-24,52
2023-10-01,53
2023-10-08,48
2023-10-15,49
2023-10-22,48
2023-10-29,47
2023-11-05,51
2023-11-12,49
2023-11-19,42
2023-11-26,52
2023-12-03,57
2023-12-10,54
2023-12-17,55
2023-12-24,42
2023-12-31,48
2024-01-07,53
2024-01-14,52
2024-01-21,58
2024-01-28,58
2024-02-04,54
2024-02-11,53
2024-02-18,53
2024-02-25,58
2024-03-03,51
2024-03-10,51
2024-03-17,51
2024-03-24,54
2024-03-31,52
2024-04-07,54
2024-04-14,57
2024-04-21,51
2024-04-28,48
2024-05-05,49
2024-05-12,50
2024-05-19,52
2024-05-26,45
2024-06-02,50
2024-06-09,51
2024-06-16,43
2024-06-23,49
2024-06-30,46
2024-07-07,53
2024-07-14,51
2024-07-21,55
2024-07-28,49
2024-08-04,53
2024-08-11,50
2024-08-18,47
2024-08-25,48
2024-09-01,47
2024-09-08,50
2024-09-15,54
2024-09-22,52
2024-09-29,53
2024-10-06,52
2024-10-13,49
2024-10-20,51
2024-10-27,50
2024-11-03,49
2024-11-10,50
2024-11-17,49
2024-11-24,43
2024-12-01,52
2024-12-08,54
2024-12-15,51
2024-12-22,35
2024-12-29,42
2025-01-05,53
2025-01-12,56
2025-01-19,51
2025-01-26,56
2025-02-02,55
2025-02-09,58
2025-02-16,59
2025-02-23,56
2025-03-02,58
2025-03-09,53
2025-03-16,54
2025-03-23,53
2025-03-30,59
2025-04-06,54
2025-04-13,54
2025-04-20,55
2025-04-27,55
2025-05-04,53
2025-05-11,52
2025-05-18,54
2025-05-25,51
2025-06-01,56
2025-06-08,58
2025-06-15,53
2025-06-22,57
2025-06-29,53
2025-07-06,56
2025-07-13,56
2025-07-20,56
2025-07-27,61
2025-08-03,72
2025-08-10,73
2025-08-17,64
2025-08-24,63
2025-08-31,61
2025-09-07,68
2025-09-14,66
2025-09-21,73
2025-09-28,71
2025-10-05,74
2025-10-12,74
2025-10-19,70
2025-10-26,65
2025-11-02,74
2025-11-09,72
2025-11-16,72
2025-11-23,55
2025-11-30,69
2025-12-07,67
2025-12-14,61
2025-12-21,47
2025-12-28,49
2026-01-04,58
2026-01-11,67
2026-01-18,65
2026-01-25,70
2026-02-01,81
2026-02-08,87
2026-02-15,100
2026-02-22,90
2026-03-01,79
2026-03-08,79
2026-03-15,73
2026-03-22,75
2026-03-29,76
2026-04-05,70
2026-04-12,74
2026-04-19,76
2026-04-26,72
2026-05-03,76
2026-05-10,71
2026-05-17,64
2026-05-24,62
2026-05-31,73
2026-06-07,71
2026-06-14,69
2026-06-21,78
2026-06-28,78
2026-07-05,63
2026-07-12,66
2026-07-19,62
2026-07-26,59
