date,search_interest_rescaled
2021-08-01,28
2021-08-08,26
2021-08-15,29
2021-08-22,32
2021-08-29,23
2021-09-05,23
2021-09-12,28
2021-09-19,28
2021-09-26,27
2021-10-03,24
2021-10-10,29
2021-10-17,30
2021-10-24,26
2021-10-31,28
2021-11-07,26
2021-11-14,27
2021-11-21,22
2021-11-28,29
2021-12-05,25
2021-12-12,25
2021-12-19,24
2021-12-26,21
2022-01-02,34
2022-01-09,33
2022-01-16,37
2022-01-23,33
2022-01-30,30
2022-02-06,31
2022-02-13,33
2022-02-20,34
2022-02-27,31
2022-03-06,35
2022-03-13,34
2022-03-20,37
2022-03-27,37
2022-04-03,34
2022-04-10,33
2022-04-17,33
2022-04-24,30
2022-05-01,29
2022-05-08,30
2022-05-15,32
2022-05-22,30
2022-05-29,27
2022-06-05,29
2022-06-12,30
2022-06-19,31
2022-06-26,30
2022-07-03,29
2022-07-10,29
2022-07-17,35
2022-07-24,31
2022-07-31,30
2022-08-07,28
2022-08-14,27
2022-08-21,27
2022-08-28,32
2022-09-04,31
2022-09-11,37
2022-09-18,31
2022-09-25,29
2022-10-02,28
2022-10-09,30
2022-10-16,36
2022-10-23,32
2022-10-30,30
2022-11-06,32
2022-11-13,31
2022-11-20,25
2022-11-27,27
2022-12-04,30
2022-12-11,33
2022-12-18,25
2022-12-25,22
2023-01-01,29
2023-01-08,52
2023-01-15,42
2023-01-22,41
2023-01-29,30
2023-02-05,28
2023-02-12,28
2023-02-19,27
2023-02-26,29
2023-03-05,31
2023-03-12,36
2023-03-19,30
2023-03-26,31
2023-04-02,27
2023-04-09,27
2023-04-16,37
2023-04-23,30
2023-04-30,30
2023-05-07,29
2023-05-14,27
2023-05-21,25
2023-05-28,27
2023-06-04,28
2023-06-11,30
2023-06-18,28
2023-06-25,30
2023-07-02,30
2023-07-09,32
2023-07-16,35
2023-07-23,30
2023-07-30,34
2023-08-06,27
2023-08-13,31
2023-08-20,30
2023-08-27,32
2023-09-03,31
2023-09-10,30
2023-09-17,32
2023-09-24,31
2023-10-01,30
2023-10-08,28
2023-10-15,32
2023-10-22,30
2023-10-29,29
2023-11-05,27
2023-11-12,28
2023-11-19,22
2023-11-26,33
2023-12-03,30
2023-12-10,32
2023-12-17,26
2023-12-24,21
2023-12-31,29
2024-01-07,32
2024-01-14,37
2024-01-21,30
2024-01-28,34
2024-02-04,34
2024-02-11,29
2024-02-18,35
2024-02-25,34
2024-03-03,33
2024-03-10,30
2024-03-17,32
2024-03-24,31
2024-03-31,31
2024-04-07,31
2024-04-14,37
2024-04-21,30
2024-04-28,30
2024-05-05,29
2024-05-12,27
2024-05-19,27
2024-05-26,27
2024-06-02,28
2024-06-09,30
2024-06-16,30
2024-06-23,29
2024-06-30,28
2024-07-07,33
2024-07-14,35
2024-07-21,32
2024-07-28,34
2024-08-04,32
2024-08-11,35
2024-08-18,34
2024-08-25,35
2024-09-01,40
2024-09-08,41
2024-09-15,39
2024-09-22,34
2024-09-29,33
2024-10-06,31
2024-10-13,34
2024-10-20,33
2024-10-27,29
2024-11-03,36
2024-11-10,34
2024-11-17,34
2024-11-24,28
2024-12-01,33
2024-12-08,32
2024-12-15,29
2024-12-22,22
2024-12-29,28
2025-01-05,34
2025-01-12,39
2025-01-19,39
2025-01-26,36
2025-02-02,35
2025-02-09,36
2025-02-16,35
2025-02-23,36
2025-03-02,38
2025-03-09,39
2025-03-16,37
2025-03-23,38
2025-03-30,40
2025-04-06,40
2025-04-13,36
2025-04-20,35
2025-04-27,33
2025-05-04,28
2025-05-11,31
2025-05-18,32
2025-05-25,31
2025-06-01,33
2025-06-08,35
2025-06-15,34
2025-06-22,36
2025-06-29,35
2025-07-06,40
2025-07-13,41
2025-07-20,47
2025-07-27,51
2025-08-03,59
2025-08-10,76
2025-08-17,73
2025-08-24,53
2025-08-31,67
2025-09-07,64
2025-09-14,62
2025-09-21,70
2025-09-28,69
2025-10-05,61
2025-10-12,71
2025-10-19,56
2025-10-26,56
2025-11-02,62
2025-11-09,64
2025-11-16,64
2025-11-23,52
2025-11-30,60
2025-12-07,54
2025-12-14,59
2025-12-21,37
2025-12-28,40
2026-01-04,55
2026-01-11,67
2026-01-18,78
2026-01-25,82
2026-02-01,88
2026-02-08,96
2026-02-15,100
2026-02-22,98
2026-03-01,77
2026-03-08,82
2026-03-15,81
2026-03-22,83
2026-03-29,86
2026-04-05,81
2026-04-12,85
2026-04-19,69
2026-04-26,71
2026-05-03,87
2026-05-10,96
2026-05-17,78
2026-05-24,75
2026-05-31,93
2026-06-07,93
2026-06-14,78
2026-06-21,83
2026-06-28,75
2026-07-05,77
2026-07-12,66
2026-07-19,48
2026-07-26,47
