date,search_interest_rescaled
2021-08-01,11
2021-08-08,11
2021-08-15,11
2021-08-22,11
2021-08-29,11
2021-09-05,10
2021-09-12,12
2021-09-19,12
2021-09-26,12
2021-10-03,12
2021-10-10,13
2021-10-17,12
2021-10-24,11
2021-10-31,12
2021-11-07,11
2021-11-14,12
2021-11-21,12
2021-11-28,12
2021-12-05,10
2021-12-12,12
2021-12-19,10
2021-12-26,9
2022-01-02,11
2022-01-09,13
2022-01-16,12
2022-01-23,13
2022-01-30,11
2022-02-06,12
2022-02-13,13
2022-02-20,12
2022-02-27,13
2022-03-06,12
2022-03-13,12
2022-03-20,11
2022-03-27,12
2022-04-03,13
2022-04-10,12
2022-04-17,13
2022-04-24,12
2022-05-01,11
2022-05-08,12
2022-05-15,11
2022-05-22,12
2022-05-29,16
2022-06-05,12
2022-06-12,12
2022-06-19,13
2022-06-26,12
2022-07-03,12
2022-07-10,13
2022-07-17,12
2022-07-24,11
2022-07-31,13
2022-08-07,12
2022-08-14,14
2022-08-21,11
2022-08-28,11
2022-09-04,11
2022-09-11,11
2022-09-18,13
2022-09-25,12
2022-10-02,11
2022-10-09,14
2022-10-16,13
2022-10-23,12
2022-10-30,12
2022-11-06,11
2022-11-13,12
2022-11-20,9
2022-11-27,11
2022-12-04,10
2022-12-11,11
2022-12-18,9
2022-12-25,9
2023-01-01,11
2023-01-08,15
2023-01-15,12
2023-01-22,12
2023-01-29,12
2023-02-05,12
2023-02-12,12
2023-02-19,11
2023-02-26,12
2023-03-05,13
2023-03-12,17
2023-03-19,14
2023-03-26,13
2023-04-02,16
2023-04-09,15
2023-04-16,14
2023-04-23,12
2023-04-30,18
2023-05-07,12
2023-05-14,12
2023-05-21,13
2023-05-28,12
2023-06-04,12
2023-06-11,14
2023-06-18,12
2023-06-25,13
2023-07-02,12
2023-07-09,13
2023-07-16,13
2023-07-23,12
2023-07-30,12
2023-08-06,12
2023-08-13,11
2023-08-20,11
2023-08-27,12
2023-09-03,11
2023-09-10,12
2023-09-17,13
2023-09-24,15
2023-10-01,12
2023-10-08,13
2023-10-15,12
2023-10-22,11
2023-10-29,12
2023-11-05,12
2023-11-12,12
2023-11-19,10
2023-11-26,11
2023-12-03,11
2023-12-10,12
2023-12-17,11
2023-12-24,9
2023-12-31,11
2024-01-07,13
2024-01-14,13
2024-01-21,14
2024-01-28,14
2024-02-04,14
2024-02-11,15
2024-02-18,13
2024-02-25,14
2024-03-03,14
2024-03-10,13
2024-03-17,15
2024-03-24,15
2024-03-31,13
2024-04-07,18
2024-04-14,14
2024-04-21,14
2024-04-28,13
2024-05-05,13
2024-05-12,14
2024-05-19,14
2024-05-26,13
2024-06-02,15
2024-06-09,15
2024-06-16,13
2024-06-23,14
2024-06-30,14
2024-07-07,16
2024-07-14,16
2024-07-21,14
2024-07-28,16
2024-08-04,16
2024-08-11,14
2024-08-18,14
2024-08-25,15
2024-09-01,15
2024-09-08,15
2024-09-15,15
2024-09-22,16
2024-09-29,16
2024-10-06,15
2024-10-13,15
2024-10-20,14
2024-10-27,15
2024-11-03,15
2024-11-10,15
2024-11-17,15
2024-11-24,15
2024-12-01,16
2024-12-08,14
2024-12-15,15
2024-12-22,11
2024-12-29,13
2025-01-05,24
2025-01-12,21
2025-01-19,18
2025-01-26,17
2025-02-02,16
2025-02-09,21
2025-02-16,20
2025-02-23,17
2025-03-02,19
2025-03-09,17
2025-03-16,19
2025-03-23,18
2025-03-30,19
2025-04-06,20
2025-04-13,17
2025-04-20,18
2025-04-27,15
2025-05-04,17
2025-05-11,16
2025-05-18,17
2025-05-25,14
2025-06-01,18
2025-06-08,17
2025-06-15,16
2025-06-22,19
2025-06-29,18
2025-07-06,18
2025-07-13,22
2025-07-20,26
2025-07-27,38
2025-08-03,49
2025-08-10,66
2025-08-17,59
2025-08-24,49
2025-08-31,54
2025-09-07,51
2025-09-14,51
2025-09-21,54
2025-09-28,67
2025-10-05,54
2025-10-12,63
2025-10-19,54
2025-10-26,51
2025-11-02,49
2025-11-09,54
2025-11-16,56
2025-11-23,60
2025-11-30,58
2025-12-07,53
2025-12-14,54
2025-12-21,34
2025-12-28,38
2026-01-04,47
2026-01-11,64
2026-01-18,61
2026-01-25,63
2026-02-01,73
2026-02-08,78
2026-02-15,94
2026-02-22,100
2026-03-01,62
2026-03-08,63
2026-03-15,78
2026-03-22,67
2026-03-29,71
2026-04-05,71
2026-04-12,79
2026-04-19,62
2026-04-26,86
2026-05-03,77
2026-05-10,71
2026-05-17,66
2026-05-24,70
2026-05-31,82
2026-06-07,79
2026-06-14,80
2026-06-21,82
2026-06-28,72
2026-07-05,71
2026-07-12,65
2026-07-19,43
2026-07-26,46
