date,search_interest_rescaled
2021-08-01,31
2021-08-08,30
2021-08-15,29
2021-08-22,30
2021-08-29,29
2021-09-05,29
2021-09-12,31
2021-09-19,29
2021-09-26,31
2021-10-03,30
2021-10-10,33
2021-10-17,32
2021-10-24,30
2021-10-31,32
2021-11-07,32
2021-11-14,34
2021-11-21,25
2021-11-28,29
2021-12-05,32
2021-12-12,31
2021-12-19,26
2021-12-26,27
2022-01-02,34
2022-01-09,38
2022-01-16,34
2022-01-23,37
2022-01-30,37
2022-02-06,37
2022-02-13,36
2022-02-20,32
2022-02-27,35
2022-03-06,36
2022-03-13,37
2022-03-20,38
2022-03-27,38
2022-04-03,38
2022-04-10,35
2022-04-17,33
2022-04-24,33
2022-05-01,33
2022-05-08,32
2022-05-15,31
2022-05-22,31
2022-05-29,28
2022-06-05,31
2022-06-12,32
2022-06-19,30
2022-06-26,30
2022-07-03,29
2022-07-10,33
2022-07-17,32
2022-07-24,33
2022-07-31,33
2022-08-07,34
2022-08-14,31
2022-08-21,31
2022-08-28,30
2022-09-04,29
2022-09-11,32
2022-09-18,32
2022-09-25,33
2022-10-02,33
2022-10-09,35
2022-10-16,34
2022-10-23,33
2022-10-30,35
2022-11-06,37
2022-11-13,33
2022-11-20,27
2022-11-27,31
2022-12-04,33
2022-12-11,32
2022-12-18,26
2022-12-25,21
2023-01-01,30
2023-01-08,38
2023-01-15,39
2023-01-22,40
2023-01-29,41
2023-02-05,37
2023-02-12,36
2023-02-19,35
2023-02-26,36
2023-03-05,38
2023-03-12,42
2023-03-19,40
2023-03-26,38
2023-04-02,34
2023-04-09,35
2023-04-16,37
2023-04-23,31
2023-04-30,38
2023-05-07,30
2023-05-14,32
2023-05-21,34
2023-05-28,33
2023-06-04,33
2023-06-11,34
2023-06-18,29
2023-06-25,32
2023-07-02,28
2023-07-09,35
2023-07-16,37
2023-07-23,37
2023-07-30,37
2023-08-06,33
2023-08-13,31
2023-08-20,31
2023-08-27,33
2023-09-03,33
2023-09-10,34
2023-09-17,31
2023-09-24,31
2023-10-01,33
2023-10-08,32
2023-10-15,34
2023-10-22,35
2023-10-29,32
2023-11-05,33
2023-11-12,34
2023-11-19,27
2023-11-26,33
2023-12-03,32
2023-12-10,32
2023-12-17,30
2023-12-24,25
2023-12-31,30
2024-01-07,36
2024-01-14,36
2024-01-21,39
2024-01-28,45
2024-02-04,42
2024-02-11,43
2024-02-18,39
2024-02-25,42
2024-03-03,39
2024-03-10,37
2024-03-17,39
2024-03-24,37
2024-03-31,38
2024-04-07,49
2024-04-14,40
2024-04-21,33
2024-04-28,34
2024-05-05,32
2024-05-12,32
2024-05-19,34
2024-05-26,29
2024-06-02,33
2024-06-09,36
2024-06-16,35
2024-06-23,46
2024-06-30,52
2024-07-07,46
2024-07-14,44
2024-07-21,40
2024-07-28,37
2024-08-04,40
2024-08-11,38
2024-08-18,90
2024-08-25,43
2024-09-01,39
2024-09-08,41
2024-09-15,42
2024-09-22,41
2024-09-29,39
2024-10-06,39
2024-10-13,43
2024-10-20,36
2024-10-27,36
2024-11-03,41
2024-11-10,40
2024-11-17,40
2024-11-24,33
2024-12-01,41
2024-12-08,37
2024-12-15,36
2024-12-22,24
2024-12-29,32
2025-01-05,42
2025-01-12,46
2025-01-19,40
2025-01-26,45
2025-02-02,45
2025-02-09,43
2025-02-16,44
2025-02-23,47
2025-03-02,49
2025-03-09,43
2025-03-16,57
2025-03-23,45
2025-03-30,47
2025-04-06,49
2025-04-13,39
2025-04-20,36
2025-04-27,37
2025-05-04,36
2025-05-11,41
2025-05-18,38
2025-05-25,34
2025-06-01,42
2025-06-08,42
2025-06-15,37
2025-06-22,44
2025-06-29,39
2025-07-06,52
2025-07-13,45
2025-07-20,48
2025-07-27,51
2025-08-03,57
2025-08-10,65
2025-08-17,66
2025-08-24,52
2025-08-31,63
2025-09-07,66
2025-09-14,63
2025-09-21,66
2025-09-28,67
2025-10-05,63
2025-10-12,66
2025-10-19,59
2025-10-26,57
2025-11-02,56
2025-11-09,59
2025-11-16,59
2025-11-23,51
2025-11-30,56
2025-12-07,52
2025-12-14,59
2025-12-21,39
2025-12-28,42
2026-01-04,60
2026-01-11,66
2026-01-18,63
2026-01-25,73
2026-02-01,78
2026-02-08,68
2026-02-15,65
2026-02-22,74
2026-03-01,82
2026-03-08,72
2026-03-15,70
2026-03-22,66
2026-03-29,80
2026-04-05,90
2026-04-12,100
2026-04-19,70
2026-04-26,74
2026-05-03,85
2026-05-10,79
2026-05-17,78
2026-05-24,76
2026-05-31,76
2026-06-07,76
2026-06-14,72
2026-06-21,74
2026-06-28,63
2026-07-05,77
2026-07-12,65
2026-07-19,57
2026-07-26,55
