date,search_interest_rescaled
2021-08-01,15
2021-08-08,17
2021-08-15,16
2021-08-22,15
2021-08-29,14
2021-09-05,12
2021-09-12,13
2021-09-19,13
2021-09-26,14
2021-10-03,15
2021-10-10,14
2021-10-17,17
2021-10-24,16
2021-10-31,16
2021-11-07,15
2021-11-14,15
2021-11-21,11
2021-11-28,16
2021-12-05,15
2021-12-12,15
2021-12-19,12
2021-12-26,12
2022-01-02,16
2022-01-09,14
2022-01-16,16
2022-01-23,21
2022-01-30,18
2022-02-06,16
2022-02-13,18
2022-02-20,16
2022-02-27,18
2022-03-06,19
2022-03-13,15
2022-03-20,14
2022-03-27,16
2022-04-03,16
2022-04-10,12
2022-04-17,18
2022-04-24,16
2022-05-01,15
2022-05-08,13
2022-05-15,14
2022-05-22,12
2022-05-29,13
2022-06-05,13
2022-06-12,15
2022-06-19,13
2022-06-26,13
2022-07-03,12
2022-07-10,14
2022-07-17,17
2022-07-24,18
2022-07-31,20
2022-08-07,23
2022-08-14,17
2022-08-21,14
2022-08-28,13
2022-09-04,14
2022-09-11,15
2022-09-18,15
2022-09-25,13
2022-10-02,13
2022-10-09,14
2022-10-16,14
2022-10-23,14
2022-10-30,13
2022-11-06,14
2022-11-13,13
2022-11-20,10
2022-11-27,12
2022-12-04,11
2022-12-11,12
2022-12-18,10
2022-12-25,10
2023-01-01,12
2023-01-08,13
2023-01-15,13
2023-01-22,20
2023-01-29,17
2023-02-05,17
2023-02-12,17
2023-02-19,15
2023-02-26,15
2023-03-05,15
2023-03-12,14
2023-03-19,14
2023-03-26,13
2023-04-02,13
2023-04-09,12
2023-04-16,15
2023-04-23,16
2023-04-30,13
2023-05-07,16
2023-05-14,14
2023-05-21,12
2023-05-28,12
2023-06-04,14
2023-06-11,13
2023-06-18,13
2023-06-25,13
2023-07-02,11
2023-07-09,14
2023-07-16,14
2023-07-23,16
2023-07-30,14
2023-08-06,16
2023-08-13,13
2023-08-20,14
2023-08-27,13
2023-09-03,11
2023-09-10,13
2023-09-17,13
2023-09-24,24
2023-10-01,33
2023-10-08,21
2023-10-15,15
2023-10-22,17
2023-10-29,15
2023-11-05,16
2023-11-12,14
2023-11-19,10
2023-11-26,12
2023-12-03,15
2023-12-10,14
2023-12-17,13
2023-12-24,10
2023-12-31,14
2024-01-07,13
2024-01-14,14
2024-01-21,18
2024-01-28,18
2024-02-04,17
2024-02-11,18
2024-02-18,16
2024-02-25,16
2024-03-03,14
2024-03-10,15
2024-03-17,15
2024-03-24,16
2024-03-31,15
2024-04-07,14
2024-04-14,13
2024-04-21,18
2024-04-28,13
2024-05-05,15
2024-05-12,15
2024-05-19,15
2024-05-26,15
2024-06-02,14
2024-06-09,17
2024-06-16,16
2024-06-23,14
2024-06-30,12
2024-07-07,13
2024-07-14,15
2024-07-21,16
2024-07-28,13
2024-08-04,14
2024-08-11,11
2024-08-18,14
2024-08-25,12
2024-09-01,13
2024-09-08,13
2024-09-15,16
2024-09-22,14
2024-09-29,14
2024-10-06,15
2024-10-13,15
2024-10-20,17
2024-10-27,15
2024-11-03,19
2024-11-10,16
2024-11-17,14
2024-11-24,11
2024-12-01,15
2024-12-08,14
2024-12-15,12
2024-12-22,9
2024-12-29,11
2025-01-05,14
2025-01-12,15
2025-01-19,21
2025-01-26,20
2025-02-02,18
2025-02-09,15
2025-02-16,13
2025-02-23,14
2025-03-02,13
2025-03-09,16
2025-03-16,16
2025-03-23,13
2025-03-30,15
2025-04-06,15
2025-04-13,12
2025-04-20,15
2025-04-27,15
2025-05-04,13
2025-05-11,14
2025-05-18,17
2025-05-25,13
2025-06-01,14
2025-06-08,15
2025-06-15,15
2025-06-22,16
2025-06-29,15
2025-07-06,16
2025-07-13,17
2025-07-20,24
2025-07-27,26
2025-08-03,48
2025-08-10,51
2025-08-17,42
2025-08-24,37
2025-08-31,37
2025-09-07,42
2025-09-14,45
2025-09-21,48
2025-09-28,51
2025-10-05,51
2025-10-12,44
2025-10-19,40
2025-10-26,65
2025-11-02,42
2025-11-09,40
2025-11-16,37
2025-11-23,34
2025-11-30,37
2025-12-07,71
2025-12-14,54
2025-12-21,35
2025-12-28,31
2026-01-04,40
2026-01-11,48
2026-01-18,37
2026-01-25,50
2026-02-01,42
2026-02-08,44
2026-02-15,53
2026-02-22,52
2026-03-01,51
2026-03-08,40
2026-03-15,49
2026-03-22,50
2026-03-29,49
2026-04-05,40
2026-04-12,40
2026-04-19,47
2026-04-26,45
2026-05-03,50
2026-05-10,51
2026-05-17,100
2026-05-24,57
2026-05-31,57
2026-06-07,47
2026-06-14,49
2026-06-21,43
2026-06-28,39
2026-07-05,37
2026-07-12,30
2026-07-19,30
2026-07-26,29
