date,search_interest_rescaled
2021-08-01,41
2021-08-08,59
2021-08-15,42
2021-08-22,42
2021-08-29,35
2021-09-05,27
2021-09-12,37
2021-09-19,44
2021-09-26,38
2021-10-03,42
2021-10-10,36
2021-10-17,42
2021-10-24,37
2021-10-31,36
2021-11-07,41
2021-11-14,38
2021-11-21,27
2021-11-28,30
2021-12-05,35
2021-12-12,44
2021-12-19,31
2021-12-26,26
2022-01-02,39
2022-01-09,45
2022-01-16,34
2022-01-23,43
2022-01-30,35
2022-02-06,35
2022-02-13,33
2022-02-20,33
2022-02-27,38
2022-03-06,36
2022-03-13,36
2022-03-20,41
2022-03-27,36
2022-04-03,37
2022-04-10,33
2022-04-17,45
2022-04-24,37
2022-05-01,33
2022-05-08,33
2022-05-15,37
2022-05-22,28
2022-05-29,28
2022-06-05,30
2022-06-12,33
2022-06-19,30
2022-06-26,29
2022-07-03,26
2022-07-10,30
2022-07-17,34
2022-07-24,34
2022-07-31,33
2022-08-07,31
2022-08-14,33
2022-08-21,28
2022-08-28,29
2022-09-04,26
2022-09-11,35
2022-09-18,29
2022-09-25,28
2022-10-02,30
2022-10-09,27
2022-10-16,29
2022-10-23,29
2022-10-30,26
2022-11-06,32
2022-11-13,29
2022-11-20,21
2022-11-27,26
2022-12-04,29
2022-12-11,29
2022-12-18,24
2022-12-25,21
2023-01-01,25
2023-01-08,34
2023-01-15,29
2023-01-22,37
2023-01-29,34
2023-02-05,34
2023-02-12,33
2023-02-19,34
2023-02-26,32
2023-03-05,32
2023-03-12,31
2023-03-19,29
2023-03-26,32
2023-04-02,29
2023-04-09,29
2023-04-16,33
2023-04-23,28
2023-04-30,27
2023-05-07,28
2023-05-14,31
2023-05-21,31
2023-05-28,26
2023-06-04,32
2023-06-11,28
2023-06-18,28
2023-06-25,33
2023-07-02,25
2023-07-09,31
2023-07-16,30
2023-07-23,31
2023-07-30,31
2023-08-06,35
2023-08-13,34
2023-08-20,29
2023-08-27,30
2023-09-03,25
2023-09-10,28
2023-09-17,28
2023-09-24,29
2023-10-01,29
2023-10-08,27
2023-10-15,29
2023-10-22,34
2023-10-29,29
2023-11-05,38
2023-11-12,27
2023-11-19,21
2023-11-26,32
2023-12-03,29
2023-12-10,31
2023-12-17,36
2023-12-24,21
2023-12-31,27
2024-01-07,28
2024-01-14,27
2024-01-21,34
2024-01-28,44
2024-02-04,34
2024-02-11,37
2024-02-18,37
2024-02-25,36
2024-03-03,33
2024-03-10,34
2024-03-17,37
2024-03-24,32
2024-03-31,35
2024-04-07,33
2024-04-14,32
2024-04-21,41
2024-04-28,35
2024-05-05,34
2024-05-12,34
2024-05-19,32
2024-05-26,29
2024-06-02,32
2024-06-09,38
2024-06-16,31
2024-06-23,32
2024-06-30,28
2024-07-07,33
2024-07-14,34
2024-07-21,35
2024-07-28,31
2024-08-04,32
2024-08-11,33
2024-08-18,35
2024-08-25,34
2024-09-01,31
2024-09-08,37
2024-09-15,35
2024-09-22,31
2024-09-29,32
2024-10-06,30
2024-10-13,33
2024-10-20,38
2024-10-27,34
2024-11-03,40
2024-11-10,35
2024-11-17,31
2024-11-24,25
2024-12-01,36
2024-12-08,34
2024-12-15,35
2024-12-22,23
2024-12-29,30
2025-01-05,39
2025-01-12,47
2025-01-19,41
2025-01-26,45
2025-02-02,52
2025-02-09,59
2025-02-16,42
2025-02-23,42
2025-03-02,45
2025-03-09,44
2025-03-16,42
2025-03-23,42
2025-03-30,47
2025-04-06,52
2025-04-13,35
2025-04-20,39
2025-04-27,58
2025-05-04,44
2025-05-11,53
2025-05-18,38
2025-05-25,39
2025-06-01,48
2025-06-08,42
2025-06-15,40
2025-06-22,44
2025-06-29,34
2025-07-06,46
2025-07-13,41
2025-07-20,43
2025-07-27,49
2025-08-03,48
2025-08-10,100
2025-08-17,83
2025-08-24,62
2025-08-31,51
2025-09-07,51
2025-09-14,56
2025-09-21,65
2025-09-28,63
2025-10-05,51
2025-10-12,57
2025-10-19,55
2025-10-26,63
2025-11-02,51
2025-11-09,49
2025-11-16,50
2025-11-23,40
2025-11-30,51
2025-12-07,44
2025-12-14,47
2025-12-21,30
2025-12-28,31
2026-01-04,47
2026-01-11,59
2026-01-18,50
2026-01-25,60
2026-02-01,61
2026-02-08,54
2026-02-15,59
2026-02-22,54
2026-03-01,52
2026-03-08,48
2026-03-15,48
2026-03-22,49
2026-03-29,50
2026-04-05,49
2026-04-12,60
2026-04-19,61
2026-04-26,68
2026-05-03,58
2026-05-10,57
2026-05-17,54
2026-05-24,56
2026-05-31,63
2026-06-07,65
2026-06-14,60
2026-06-21,58
2026-06-28,58
2026-07-05,55
2026-07-12,50
2026-07-19,50
2026-07-26,58
