date,search_interest_rescaled
2021-08-01,9
2021-08-08,10
2021-08-15,10
2021-08-22,9
2021-08-29,9
2021-09-05,9
2021-09-12,10
2021-09-19,10
2021-09-26,10
2021-10-03,10
2021-10-10,10
2021-10-17,12
2021-10-24,10
2021-10-31,9
2021-11-07,11
2021-11-14,10
2021-11-21,10
2021-11-28,11
2021-12-05,11
2021-12-12,10
2021-12-19,11
2021-12-26,9
2022-01-02,10
2022-01-09,11
2022-01-16,12
2022-01-23,13
2022-01-30,13
2022-02-06,12
2022-02-13,12
2022-02-20,11
2022-02-27,13
2022-03-06,21
2022-03-13,17
2022-03-20,12
2022-03-27,13
2022-04-03,12
2022-04-10,12
2022-04-17,15
2022-04-24,12
2022-05-01,11
2022-05-08,12
2022-05-15,11
2022-05-22,9
2022-05-29,10
2022-06-05,10
2022-06-12,12
2022-06-19,11
2022-06-26,9
2022-07-03,11
2022-07-10,10
2022-07-17,11
2022-07-24,10
2022-07-31,10
2022-08-07,10
2022-08-14,10
2022-08-21,10
2022-08-28,10
2022-09-04,9
2022-09-11,10
2022-09-18,10
2022-09-25,10
2022-10-02,10
2022-10-09,11
2022-10-16,12
2022-10-23,12
2022-10-30,10
2022-11-06,10
2022-11-13,10
2022-11-20,9
2022-11-27,9
2022-12-04,9
2022-12-11,9
2022-12-18,8
2022-12-25,8
2023-01-01,8
2023-01-08,10
2023-01-15,11
2023-01-22,10
2023-01-29,12
2023-02-05,10
2023-02-12,10
2023-02-19,9
2023-02-26,9
2023-03-05,11
2023-03-12,10
2023-03-19,10
2023-03-26,10
2023-04-02,9
2023-04-09,9
2023-04-16,11
2023-04-23,10
2023-04-30,9
2023-05-07,9
2023-05-14,9
2023-05-21,9
2023-05-28,8
2023-06-04,9
2023-06-11,9
2023-06-18,8
2023-06-25,8
2023-07-02,9
2023-07-09,8
2023-07-16,9
2023-07-23,10
2023-07-30,8
2023-08-06,8
2023-08-13,8
2023-08-20,9
2023-08-27,8
2023-09-03,9
2023-09-10,9
2023-09-17,9
2023-09-24,9
2023-10-01,9
2023-10-08,9
2023-10-15,12
2023-10-22,11
2023-10-29,12
2023-11-05,11
2023-11-12,12
2023-11-19,9
2023-11-26,10
2023-12-03,11
2023-12-10,10
2023-12-17,8
2023-12-24,7
2023-12-31,8
2024-01-07,9
2024-01-14,9
2024-01-21,11
2024-01-28,13
2024-02-04,10
2024-02-11,9
2024-02-18,11
2024-02-25,11
2024-03-03,10
2024-03-10,10
2024-03-17,11
2024-03-24,9
2024-03-31,9
2024-04-07,10
2024-04-14,11
2024-04-21,10
2024-04-28,9
2024-05-05,10
2024-05-12,9
2024-05-19,9
2024-05-26,8
2024-06-02,9
2024-06-09,9
2024-06-16,9
2024-06-23,9
2024-06-30,9
2024-07-07,9
2024-07-14,8
2024-07-21,8
2024-07-28,10
2024-08-04,9
2024-08-11,9
2024-08-18,9
2024-08-25,10
2024-09-01,9
2024-09-08,10
2024-09-15,10
2024-09-22,10
2024-09-29,10
2024-10-06,11
2024-10-13,11
2024-10-20,10
2024-10-27,10
2024-11-03,11
2024-11-10,9
2024-11-17,11
2024-11-24,9
2024-12-01,10
2024-12-08,10
2024-12-15,9
2024-12-22,7
2024-12-29,8
2025-01-05,10
2025-01-12,10
2025-01-19,11
2025-01-26,11
2025-02-02,10
2025-02-09,11
2025-02-16,11
2025-02-23,11
2025-03-02,12
2025-03-09,12
2025-03-16,11
2025-03-23,10
2025-03-30,12
2025-04-06,13
2025-04-13,9
2025-04-20,13
2025-04-27,10
2025-05-04,10
2025-05-11,10
2025-05-18,10
2025-05-25,9
2025-06-01,13
2025-06-08,10
2025-06-15,10
2025-06-22,11
2025-06-29,9
2025-07-06,11
2025-07-13,12
2025-07-20,13
2025-07-27,20
2025-08-03,25
2025-08-10,35
2025-08-17,33
2025-08-24,24
2025-08-31,28
2025-09-07,27
2025-09-14,25
2025-09-21,29
2025-09-28,30
2025-10-05,27
2025-10-12,28
2025-10-19,33
2025-10-26,26
2025-11-02,25
2025-11-09,26
2025-11-16,30
2025-11-23,29
2025-11-30,35
2025-12-07,32
2025-12-14,26
2025-12-21,16
2025-12-28,16
2026-01-04,22
2026-01-11,27
2026-01-18,32
2026-01-25,34
2026-02-01,34
2026-02-08,36
2026-02-15,33
2026-02-22,32
2026-03-01,27
2026-03-08,24
2026-03-15,100
2026-03-22,27
2026-03-29,32
2026-04-05,29
2026-04-12,34
2026-04-19,29
2026-04-26,26
2026-05-03,27
2026-05-10,24
2026-05-17,25
2026-05-24,23
2026-05-31,26
2026-06-07,24
2026-06-14,24
2026-06-21,26
2026-06-28,22
2026-07-05,24
2026-07-12,18
2026-07-19,15
2026-07-26,19
