date,search_interest_rescaled
2021-08-01,56
2021-08-08,57
2021-08-15,58
2021-08-22,67
2021-08-29,60
2021-09-05,60
2021-09-12,59
2021-09-19,59
2021-09-26,59
2021-10-03,62
2021-10-10,60
2021-10-17,56
2021-10-24,55
2021-10-31,70
2021-11-07,70
2021-11-14,72
2021-11-21,72
2021-11-28,59
2021-12-05,63
2021-12-12,64
2021-12-19,87
2021-12-26,81
2022-01-02,61
2022-01-09,54
2022-01-16,48
2022-01-23,53
2022-01-30,52
2022-02-06,50
2022-02-13,50
2022-02-20,52
2022-02-27,52
2022-03-06,52
2022-03-13,53
2022-03-20,51
2022-03-27,51
2022-04-03,54
2022-04-10,55
2022-04-17,55
2022-04-24,54
2022-05-01,53
2022-05-08,55
2022-05-15,51
2022-05-22,54
2022-05-29,56
2022-06-05,56
2022-06-12,56
2022-06-19,60
2022-06-26,58
2022-07-03,60
2022-07-10,62
2022-07-17,60
2022-07-24,57
2022-07-31,58
2022-08-07,55
2022-08-14,59
2022-08-21,59
2022-08-28,64
2022-09-04,60
2022-09-11,58
2022-09-18,59
2022-09-25,59
2022-10-02,57
2022-10-09,57
2022-10-16,55
2022-10-23,54
2022-10-30,67
2022-11-06,61
2022-11-13,73
2022-11-20,61
2022-11-27,57
2022-12-04,56
2022-12-11,58
2022-12-18,63
2022-12-25,74
2023-01-01,61
2023-01-08,53
2023-01-15,52
2023-01-22,52
2023-01-29,52
2023-02-05,51
2023-02-12,52
2023-02-19,56
2023-02-26,49
2023-03-05,52
2023-03-12,52
2023-03-19,52
2023-03-26,54
2023-04-02,54
2023-04-09,57
2023-04-16,56
2023-04-23,56
2023-04-30,55
2023-05-07,57
2023-05-14,53
2023-05-21,51
2023-05-28,55
2023-06-04,53
2023-06-11,52
2023-06-18,56
2023-06-25,55
2023-07-02,57
2023-07-09,54
2023-07-16,58
2023-07-23,60
2023-07-30,57
2023-08-06,55
2023-08-13,54
2023-08-20,62
2023-08-27,62
2023-09-03,61
2023-09-10,59
2023-09-17,58
2023-09-24,61
2023-10-01,57
2023-10-08,57
2023-10-15,55
2023-10-22,59
2023-10-29,67
2023-11-05,64
2023-11-12,69
2023-11-19,60
2023-11-26,54
2023-12-03,60
2023-12-10,59
2023-12-17,59
2023-12-24,74
2023-12-31,69
2024-01-07,53
2024-01-14,47
2024-01-21,47
2024-01-28,48
2024-02-04,46
2024-02-11,44
2024-02-18,46
2024-02-25,47
2024-03-03,48
2024-03-10,47
2024-03-17,45
2024-03-24,50
2024-03-31,50
2024-04-07,47
2024-04-14,47
2024-04-21,47
2024-04-28,49
2024-05-05,55
2024-05-12,49
2024-05-19,46
2024-05-26,50
2024-06-02,47
2024-06-09,45
2024-06-16,46
2024-06-23,47
2024-06-30,46
2024-07-07,46
2024-07-14,50
2024-07-21,46
2024-07-28,46
2024-08-04,46
2024-08-11,54
2024-08-18,64
2024-08-25,51
2024-09-01,50
2024-09-08,48
2024-09-15,47
2024-09-22,47
2024-09-29,48
2024-10-06,49
2024-10-13,47
2024-10-20,47
2024-10-27,49
2024-11-03,55
2024-11-10,62
2024-11-17,52
2024-11-24,58
2024-12-01,50
2024-12-08,50
2024-12-15,51
2024-12-22,70
2024-12-29,58
2025-01-05,47
2025-01-12,49
2025-01-19,49
2025-01-26,49
2025-02-02,47
2025-02-09,49
2025-02-16,44
2025-02-23,47
2025-03-02,46
2025-03-09,46
2025-03-16,47
2025-03-23,48
2025-03-30,45
2025-04-06,46
2025-04-13,52
2025-04-20,51
2025-04-27,48
2025-05-04,49
2025-05-11,48
2025-05-18,52
2025-05-25,48
2025-06-01,47
2025-06-08,45
2025-06-15,46
2025-06-22,45
2025-06-29,46
2025-07-06,44
2025-07-13,48
2025-07-20,48
2025-07-27,52
2025-08-03,55
2025-08-10,56
2025-08-17,58
2025-08-24,66
2025-08-31,58
2025-09-07,57
2025-09-14,55
2025-09-21,61
2025-09-28,69
2025-10-05,52
2025-10-12,52
2025-10-19,53
2025-10-26,50
2025-11-02,100
2025-11-09,96
2025-11-16,61
2025-11-23,66
2025-11-30,59
2025-12-07,60
2025-12-14,58
2025-12-21,76
2025-12-28,60
2026-01-04,50
2026-01-11,54
2026-01-18,49
2026-01-25,52
2026-02-01,52
2026-02-08,52
2026-02-15,46
2026-02-22,48
2026-03-01,55
2026-03-08,51
2026-03-15,49
2026-03-22,56
2026-03-29,61
2026-04-05,58
2026-04-12,57
2026-04-19,53
2026-04-26,50
2026-05-03,55
2026-05-10,58
2026-05-17,56
2026-05-24,54
2026-05-31,52
2026-06-07,54
2026-06-14,52
2026-06-21,50
2026-06-28,49
2026-07-05,53
2026-07-12,53
2026-07-19,50
2026-07-26,50
