date,search_interest_rescaled
2021-08-01,51
2021-08-08,55
2021-08-15,57
2021-08-22,57
2021-08-29,56
2021-09-05,50
2021-09-12,61
2021-09-19,62
2021-09-26,59
2021-10-03,60
2021-10-10,61
2021-10-17,56
2021-10-24,55
2021-10-31,56
2021-11-07,55
2021-11-14,54
2021-11-21,56
2021-11-28,61
2021-12-05,56
2021-12-12,59
2021-12-19,61
2021-12-26,70
2022-01-02,56
2022-01-09,51
2022-01-16,50
2022-01-23,46
2022-01-30,55
2022-02-06,52
2022-02-13,51
2022-02-20,49
2022-02-27,51
2022-03-06,47
2022-03-13,50
2022-03-20,49
2022-03-27,48
2022-04-03,48
2022-04-10,51
2022-04-17,44
2022-04-24,43
2022-05-01,44
2022-05-08,43
2022-05-15,43
2022-05-22,44
2022-05-29,41
2022-06-05,39
2022-06-12,43
2022-06-19,42
2022-06-26,43
2022-07-03,42
2022-07-10,43
2022-07-17,42
2022-07-24,41
2022-07-31,44
2022-08-07,43
2022-08-14,43
2022-08-21,42
2022-08-28,43
2022-09-04,43
2022-09-11,46
2022-09-18,46
2022-09-25,44
2022-10-02,42
2022-10-09,36
2022-10-16,35
2022-10-23,37
2022-10-30,36
2022-11-06,33
2022-11-13,34
2022-11-20,37
2022-11-27,34
2022-12-04,33
2022-12-11,34
2022-12-18,35
2022-12-25,37
2023-01-01,37
2023-01-08,34
2023-01-15,33
2023-01-22,33
2023-01-29,36
2023-02-05,34
2023-02-12,32
2023-02-19,32
2023-02-26,33
2023-03-05,32
2023-03-12,32
2023-03-19,33
2023-03-26,33
2023-04-02,31
2023-04-09,28
2023-04-16,30
2023-04-23,29
2023-04-30,28
2023-05-07,30
2023-05-14,32
2023-05-21,29
2023-05-28,30
2023-06-04,30
2023-06-11,30
2023-06-18,31
2023-06-25,32
2023-07-02,33
2023-07-09,35
2023-07-16,33
2023-07-23,38
2023-07-30,35
2023-08-06,31
2023-08-13,31
2023-08-20,31
2023-08-27,31
2023-09-03,31
2023-09-10,33
2023-09-17,35
2023-09-24,35
2023-10-01,33
2023-10-08,31
2023-10-15,28
2023-10-22,28
2023-10-29,28
2023-11-05,28
2023-11-12,30
2023-11-19,31
2023-11-26,32
2023-12-03,31
2023-12-10,28
2023-12-17,29
2023-12-24,34
2023-12-31,31
2024-01-07,27
2024-01-14,29
2024-01-21,27
2024-01-28,32
2024-02-04,30
2024-02-11,27
2024-02-18,100
2024-02-25,33
2024-03-03,28
2024-03-10,27
2024-03-17,32
2024-03-24,31
2024-03-31,39
2024-04-07,28
2024-04-14,29
2024-04-21,27
2024-04-28,29
2024-05-05,27
2024-05-12,28
2024-05-19,28
2024-05-26,28
2024-06-02,31
2024-06-09,27
2024-06-16,28
2024-06-23,31
2024-06-30,28
2024-07-07,33
2024-07-14,33
2024-07-21,30
2024-07-28,29
2024-08-04,27
2024-08-11,32
2024-08-18,30
2024-08-25,31
2024-09-01,28
2024-09-08,32
2024-09-15,31
2024-09-22,30
2024-09-29,31
2024-10-06,29
2024-10-13,27
2024-10-20,28
2024-10-27,26
2024-11-03,26
2024-11-10,38
2024-11-17,30
2024-11-24,27
2024-12-01,32
2024-12-08,29
2024-12-15,29
2024-12-22,28
2024-12-29,30
2025-01-05,30
2025-01-12,27
2025-01-19,26
2025-01-26,30
2025-02-02,29
2025-02-09,26
2025-02-16,27
2025-02-23,28
2025-03-02,29
2025-03-09,27
2025-03-16,28
2025-03-23,28
2025-03-30,29
2025-04-06,26
2025-04-13,27
2025-04-20,28
2025-04-27,27
2025-05-04,28
2025-05-11,28
2025-05-18,28
2025-05-25,26
2025-06-01,30
2025-06-08,29
2025-06-15,31
2025-06-22,31
2025-06-29,29
2025-07-06,30
2025-07-13,31
2025-07-20,33
2025-07-27,35
2025-08-03,41
2025-08-10,51
2025-08-17,48
2025-08-24,40
2025-08-31,41
2025-09-07,45
2025-09-14,51
2025-09-21,51
2025-09-28,45
2025-10-05,42
2025-10-12,40
2025-10-19,42
2025-10-26,37
2025-11-02,38
2025-11-09,41
2025-11-16,38
2025-11-23,40
2025-11-30,46
2025-12-07,44
2025-12-14,44
2025-12-21,38
2025-12-28,38
2026-01-04,36
2026-01-11,39
2026-01-18,34
2026-01-25,37
2026-02-01,37
2026-02-08,40
2026-02-15,40
2026-02-22,39
2026-03-01,41
2026-03-08,41
2026-03-15,44
2026-03-22,46
2026-03-29,51
2026-04-05,52
2026-04-12,57
2026-04-19,50
2026-04-26,46
2026-05-03,49
2026-05-10,50
2026-05-17,49
2026-05-24,52
2026-05-31,56
2026-06-07,58
2026-06-14,60
2026-06-21,56
2026-06-28,56
2026-07-05,53
2026-07-12,46
2026-07-19,42
2026-07-26,42
