date,search_interest_rescaled
2021-08-01,34
2021-08-08,35
2021-08-15,36
2021-08-22,34
2021-08-29,35
2021-09-05,34
2021-09-12,35
2021-09-19,34
2021-09-26,37
2021-10-03,35
2021-10-10,36
2021-10-17,36
2021-10-24,37
2021-10-31,37
2021-11-07,38
2021-11-14,38
2021-11-21,37
2021-11-28,37
2021-12-05,35
2021-12-12,37
2021-12-19,36
2021-12-26,35
2022-01-02,42
2022-01-09,42
2022-01-16,37
2022-01-23,41
2022-01-30,42
2022-02-06,43
2022-02-13,44
2022-02-20,45
2022-02-27,48
2022-03-06,47
2022-03-13,47
2022-03-20,45
2022-03-27,46
2022-04-03,45
2022-04-10,44
2022-04-17,46
2022-04-24,47
2022-05-01,46
2022-05-08,49
2022-05-15,47
2022-05-22,47
2022-05-29,49
2022-06-05,51
2022-06-12,47
2022-06-19,49
2022-06-26,52
2022-07-03,52
2022-07-10,48
2022-07-17,51
2022-07-24,52
2022-07-31,50
2022-08-07,52
2022-08-14,52
2022-08-21,51
2022-08-28,51
2022-09-04,49
2022-09-11,50
2022-09-18,50
2022-09-25,48
2022-10-02,52
2022-10-09,50
2022-10-16,50
2022-10-23,46
2022-10-30,48
2022-11-06,49
2022-11-13,48
2022-11-20,44
2022-11-27,45
2022-12-04,46
2022-12-11,47
2022-12-18,47
2022-12-25,48
2023-01-01,53
2023-01-08,53
2023-01-15,53
2023-01-22,53
2023-01-29,53
2023-02-05,54
2023-02-12,51
2023-02-19,53
2023-02-26,52
2023-03-05,52
2023-03-12,52
2023-03-19,52
2023-03-26,54
2023-04-02,51
2023-04-09,53
2023-04-16,49
2023-04-23,53
2023-04-30,54
2023-05-07,57
2023-05-14,54
2023-05-21,54
2023-05-28,57
2023-06-04,58
2023-06-11,56
2023-06-18,56
2023-06-25,55
2023-07-02,59
2023-07-09,59
2023-07-16,61
2023-07-23,61
2023-07-30,57
2023-08-06,59
2023-08-13,56
2023-08-20,55
2023-08-27,56
2023-09-03,57
2023-09-10,56
2023-09-17,55
2023-09-24,52
2023-10-01,56
2023-10-08,52
2023-10-15,52
2023-10-22,50
2023-10-29,50
2023-11-05,51
2023-11-12,50
2023-11-19,50
2023-11-26,52
2023-12-03,51
2023-12-10,53
2023-12-17,51
2023-12-24,48
2023-12-31,56
2024-01-07,58
2024-01-14,53
2024-01-21,56
2024-01-28,57
2024-02-04,55
2024-02-11,54
2024-02-18,52
2024-02-25,56
2024-03-03,55
2024-03-10,52
2024-03-17,58
2024-03-24,62
2024-03-31,54
2024-04-07,54
2024-04-14,51
2024-04-21,54
2024-04-28,57
2024-05-05,58
2024-05-12,55
2024-05-19,55
2024-05-26,55
2024-06-02,54
2024-06-09,55
2024-06-16,53
2024-06-23,55
2024-06-30,55
2024-07-07,56
2024-07-14,58
2024-07-21,56
2024-07-28,55
2024-08-04,56
2024-08-11,57
2024-08-18,57
2024-08-25,57
2024-09-01,56
2024-09-08,55
2024-09-15,54
2024-09-22,54
2024-09-29,55
2024-10-06,54
2024-10-13,50
2024-10-20,51
2024-10-27,53
2024-11-03,56
2024-11-10,57
2024-11-17,53
2024-11-24,51
2024-12-01,53
2024-12-08,53
2024-12-15,53
2024-12-22,54
2024-12-29,58
2025-01-05,63
2025-01-12,60
2025-01-19,60
2025-01-26,58
2025-02-02,58
2025-02-09,58
2025-02-16,59
2025-02-23,54
2025-03-02,58
2025-03-09,58
2025-03-16,58
2025-03-23,56
2025-03-30,55
2025-04-06,60
2025-04-13,53
2025-04-20,58
2025-04-27,55
2025-05-04,56
2025-05-11,56
2025-05-18,55
2025-05-25,60
2025-06-01,60
2025-06-08,61
2025-06-15,59
2025-06-22,60
2025-06-29,60
2025-07-06,73
2025-07-13,68
2025-07-20,70
2025-07-27,73
2025-08-03,87
2025-08-10,92
2025-08-17,87
2025-08-24,80
2025-08-31,86
2025-09-07,87
2025-09-14,97
2025-09-21,100
2025-09-28,88
2025-10-05,78
2025-10-12,75
2025-10-19,73
2025-10-26,67
2025-11-02,71
2025-11-09,73
2025-11-16,74
2025-11-23,78
2025-11-30,80
2025-12-07,78
2025-12-14,79
2025-12-21,67
2025-12-28,66
2026-01-04,73
2026-01-11,86
2026-01-18,78
2026-01-25,76
2026-02-01,73
2026-02-08,72
2026-02-15,73
2026-02-22,72
2026-03-01,71
2026-03-08,68
2026-03-15,71
2026-03-22,68
2026-03-29,73
2026-04-05,77
2026-04-12,70
2026-04-19,68
2026-04-26,70
2026-05-03,76
2026-05-10,79
2026-05-17,75
2026-05-24,77
2026-05-31,87
2026-06-07,81
2026-06-14,84
2026-06-21,82
2026-06-28,82
2026-07-05,80
2026-07-12,69
2026-07-19,64
2026-07-26,67
