date,search_interest
2021-07-25,34
2021-08-01,33
2021-08-08,34
2021-08-15,35
2021-08-22,35
2021-08-29,34
2021-09-05,34
2021-09-12,34
2021-09-19,33
2021-09-26,35
2021-10-03,37
2021-10-10,35
2021-10-17,36
2021-10-24,37
2021-10-31,36
2021-11-07,37
2021-11-14,38
2021-11-21,36
2021-11-28,35
2021-12-05,34
2021-12-12,34
2021-12-19,36
2021-12-26,34
2022-01-02,41
2022-01-09,40
2022-01-16,34
2022-01-23,38
2022-01-30,40
2022-02-06,41
2022-02-13,42
2022-02-20,44
2022-02-27,45
2022-03-06,46
2022-03-13,45
2022-03-20,43
2022-03-27,45
2022-04-03,45
2022-04-10,43
2022-04-17,45
2022-04-24,45
2022-05-01,44
2022-05-08,47
2022-05-15,45
2022-05-22,45
2022-05-29,47
2022-06-05,50
2022-06-12,46
2022-06-19,50
2022-06-26,50
2022-07-03,51
2022-07-10,45
2022-07-17,50
2022-07-24,50
2022-07-31,51
2022-08-07,49
2022-08-14,49
2022-08-21,49
2022-08-28,50
2022-09-04,47
2022-09-11,49
2022-09-18,51
2022-09-25,49
2022-10-02,51
2022-10-09,49
2022-10-16,49
2022-10-23,45
2022-10-30,47
2022-11-06,45
2022-11-13,46
2022-11-20,40
2022-11-27,43
2022-12-04,43
2022-12-11,45
2022-12-18,44
2022-12-25,48
2023-01-01,52
2023-01-08,51
2023-01-15,55
2023-01-22,53
2023-01-29,50
2023-02-05,51
2023-02-12,50
2023-02-19,51
2023-02-26,53
2023-03-05,50
2023-03-12,50
2023-03-19,52
2023-03-26,51
2023-04-02,50
2023-04-09,49
2023-04-16,47
2023-04-23,51
2023-04-30,54
2023-05-07,54
2023-05-14,51
2023-05-21,53
2023-05-28,56
2023-06-04,56
2023-06-11,55
2023-06-18,54
2023-06-25,53
2023-07-02,57
2023-07-09,60
2023-07-16,58
2023-07-23,59
2023-07-30,59
2023-08-06,58
2023-08-13,54
2023-08-20,55
2023-08-27,54
2023-09-03,57
2023-09-10,54
2023-09-17,54
2023-09-24,52
2023-10-01,53
2023-10-08,51
2023-10-15,50
2023-10-22,49
2023-10-29,48
2023-11-05,48
2023-11-12,48
2023-11-19,48
2023-11-26,49
2023-12-03,50
2023-12-10,52
2023-12-17,50
2023-12-24,47
2023-12-31,56
2024-01-07,55
2024-01-14,53
2024-01-21,54
2024-01-28,58
2024-02-04,54
2024-02-11,50
2024-02-18,54
2024-02-25,55
2024-03-03,53
2024-03-10,50
2024-03-17,52
2024-03-24,58
2024-03-31,52
2024-04-07,51
2024-04-14,51
2024-04-21,51
2024-04-28,54
2024-05-05,54
2024-05-12,54
2024-05-19,53
2024-05-26,53
2024-06-02,52
2024-06-09,55
2024-06-16,50
2024-06-23,53
2024-06-30,54
2024-07-07,55
2024-07-14,54
2024-07-21,54
2024-07-28,54
2024-08-04,54
2024-08-11,55
2024-08-18,53
2024-08-25,55
2024-09-01,56
2024-09-08,53
2024-09-15,52
2024-09-22,54
2024-09-29,52
2024-10-06,55
2024-10-13,49
2024-10-20,51
2024-10-27,50
2024-11-03,52
2024-11-10,57
2024-11-17,52
2024-11-24,51
2024-12-01,55
2024-12-08,51
2024-12-15,52
2024-12-22,51
2024-12-29,61
2025-01-05,60
2025-01-12,58
2025-01-19,57
2025-01-26,59
2025-02-02,57
2025-02-09,56
2025-02-16,56
2025-02-23,53
2025-03-02,55
2025-03-09,55
2025-03-16,56
2025-03-23,55
2025-03-30,53
2025-04-06,58
2025-04-13,52
2025-04-20,55
2025-04-27,54
2025-05-04,53
2025-05-11,54
2025-05-18,53
2025-05-25,56
2025-06-01,57
2025-06-08,59
2025-06-15,58
2025-06-22,58
2025-06-29,60
2025-07-06,65
2025-07-13,63
2025-07-20,68
2025-07-27,70
2025-08-03,83
2025-08-10,89
2025-08-17,87
2025-08-24,77
2025-08-31,83
2025-09-07,82
2025-09-14,89
2025-09-21,100
2025-09-28,85
2025-10-05,75
2025-10-12,73
2025-10-19,68
2025-10-26,65
2025-11-02,70
2025-11-09,71
2025-11-16,74
2025-11-23,75
2025-11-30,76
2025-12-07,76
2025-12-14,75
2025-12-21,64
2025-12-28,62
2026-01-04,73
2026-01-11,82
2026-01-18,75
2026-01-25,73
2026-02-01,72
2026-02-08,73
2026-02-15,73
2026-02-22,73
2026-03-01,68
2026-03-08,65
2026-03-15,65
2026-03-22,67
2026-03-29,70
2026-04-05,73
2026-04-12,67
2026-04-19,67
2026-04-26,69
2026-05-03,75
2026-05-10,75
2026-05-17,76
2026-05-24,75
2026-05-31,84
2026-06-07,80
2026-06-14,81
2026-06-21,82
2026-06-28,78
2026-07-05,77
2026-07-12,65
2026-07-19,61
2026-07-26,61
