date,search_interest
2021-08-01,42
2021-08-08,44
2021-08-15,44
2021-08-22,47
2021-08-29,46
2021-09-05,49
2021-09-12,71
2021-09-19,57
2021-09-26,56
2021-10-03,53
2021-10-10,55
2021-10-17,57
2021-10-24,52
2021-10-31,49
2021-11-07,52
2021-11-14,54
2021-11-21,66
2021-11-28,55
2021-12-05,53
2021-12-12,51
2021-12-19,58
2021-12-26,60
2022-01-02,57
2022-01-09,53
2022-01-16,49
2022-01-23,47
2022-01-30,48
2022-02-06,47
2022-02-13,46
2022-02-20,44
2022-02-27,45
2022-03-06,49
2022-03-13,46
2022-03-20,48
2022-03-27,45
2022-04-03,42
2022-04-10,45
2022-04-17,43
2022-04-24,44
2022-05-01,44
2022-05-08,44
2022-05-15,43
2022-05-22,46
2022-05-29,42
2022-06-05,49
2022-06-12,43
2022-06-19,45
2022-06-26,46
2022-07-03,45
2022-07-10,49
2022-07-17,47
2022-07-24,47
2022-07-31,47
2022-08-07,48
2022-08-14,51
2022-08-21,50
2022-08-28,49
2022-09-04,72
2022-09-11,61
2022-09-18,61
2022-09-25,57
2022-10-02,54
2022-10-09,53
2022-10-16,55
2022-10-23,55
2022-10-30,50
2022-11-06,49
2022-11-13,50
2022-11-20,59
2022-11-27,54
2022-12-04,49
2022-12-11,50
2022-12-18,51
2022-12-25,62
2023-01-01,52
2023-01-08,49
2023-01-15,51
2023-01-22,49
2023-01-29,48
2023-02-05,46
2023-02-12,46
2023-02-19,46
2023-02-26,43
2023-03-05,42
2023-03-12,43
2023-03-19,44
2023-03-26,43
2023-04-02,44
2023-04-09,42
2023-04-16,44
2023-04-23,42
2023-04-30,46
2023-05-07,43
2023-05-14,43
2023-05-21,41
2023-05-28,44
2023-06-04,60
2023-06-11,47
2023-06-18,47
2023-06-25,45
2023-07-02,47
2023-07-09,50
2023-07-16,47
2023-07-23,47
2023-07-30,48
2023-08-06,46
2023-08-13,45
2023-08-20,46
2023-08-27,47
2023-09-03,49
2023-09-10,76
2023-09-17,62
2023-09-24,59
2023-10-01,54
2023-10-08,53
2023-10-15,49
2023-10-22,49
2023-10-29,48
2023-11-05,50
2023-11-12,51
2023-11-19,61
2023-11-26,54
2023-12-03,50
2023-12-10,51
2023-12-17,51
2023-12-24,58
2023-12-31,51
2024-01-07,51
2024-01-14,48
2024-01-21,45
2024-01-28,51
2024-02-04,58
2024-02-11,51
2024-02-18,49
2024-02-25,49
2024-03-03,49
2024-03-10,46
2024-03-17,48
2024-03-24,47
2024-03-31,46
2024-04-07,46
2024-04-14,45
2024-04-21,45
2024-04-28,46
2024-05-05,51
2024-05-12,45
2024-05-19,45
2024-05-26,47
2024-06-02,47
2024-06-09,56
2024-06-16,49
2024-06-23,46
2024-06-30,48
2024-07-07,47
2024-07-14,50
2024-07-21,48
2024-07-28,48
2024-08-04,49
2024-08-11,49
2024-08-18,48
2024-08-25,52
2024-09-01,53
2024-09-08,84
2024-09-15,66
2024-09-22,65
2024-09-29,59
2024-10-06,59
2024-10-13,56
2024-10-20,53
2024-10-27,56
2024-11-03,55
2024-11-10,57
2024-11-17,57
2024-11-24,69
2024-12-01,65
2024-12-08,58
2024-12-15,52
2024-12-22,67
2024-12-29,62
2025-01-05,58
2025-01-12,53
2025-01-19,54
2025-01-26,53
2025-02-02,52
2025-02-09,54
2025-02-16,55
2025-02-23,52
2025-03-02,50
2025-03-09,56
2025-03-16,50
2025-03-23,49
2025-03-30,53
2025-04-06,53
2025-04-13,48
2025-04-20,50
2025-04-27,49
2025-05-04,49
2025-05-11,51
2025-05-18,48
2025-05-25,51
2025-06-01,49
2025-06-08,57
2025-06-15,53
2025-06-22,48
2025-06-29,49
2025-07-06,54
2025-07-13,52
2025-07-20,55
2025-07-27,56
2025-08-03,65
2025-08-10,68
2025-08-17,67
2025-08-24,66
2025-08-31,70
2025-09-07,100
2025-09-14,85
2025-09-21,85
2025-09-28,77
2025-10-05,74
2025-10-12,69
2025-10-19,66
2025-10-26,65
2025-11-02,65
2025-11-09,68
2025-11-16,67
2025-11-23,79
2025-11-30,76
2025-12-07,65
2025-12-14,72
2025-12-21,71
2025-12-28,68
2026-01-04,62
2026-01-11,66
2026-01-18,63
2026-01-25,65
2026-02-01,64
2026-02-08,64
2026-02-15,66
2026-02-22,63
2026-03-01,73
2026-03-08,68
2026-03-15,65
2026-03-22,75
2026-03-29,85
2026-04-05,85
2026-04-12,84
2026-04-19,81
2026-04-26,80
2026-05-03,89
2026-05-10,87
2026-05-17,79
2026-05-24,70
2026-05-31,82
2026-06-07,74
2026-06-14,73
2026-06-21,79
2026-06-28,67
2026-07-05,65
2026-07-12,58
2026-07-19,56
2026-07-26,64
