date,search_interest
2021-08-01,70
2021-08-08,74
2021-08-15,69
2021-08-22,68
2021-08-29,70
2021-09-05,70
2021-09-12,65
2021-09-19,67
2021-09-26,69
2021-10-03,70
2021-10-10,69
2021-10-17,69
2021-10-24,72
2021-10-31,68
2021-11-07,80
2021-11-14,79
2021-11-21,78
2021-11-28,76
2021-12-05,76
2021-12-12,80
2021-12-19,87
2021-12-26,97
2022-01-02,94
2022-01-09,90
2022-01-16,80
2022-01-23,87
2022-01-30,80
2022-02-06,85
2022-02-13,79
2022-02-20,78
2022-02-27,77
2022-03-06,78
2022-03-13,87
2022-03-20,83
2022-03-27,86
2022-04-03,93
2022-04-10,84
2022-04-17,87
2022-04-24,80
2022-05-01,79
2022-05-08,77
2022-05-15,75
2022-05-22,81
2022-05-29,79
2022-06-05,78
2022-06-12,87
2022-06-19,88
2022-06-26,80
2022-07-03,80
2022-07-10,78
2022-07-17,79
2022-07-24,76
2022-07-31,78
2022-08-07,74
2022-08-14,75
2022-08-21,75
2022-08-28,74
2022-09-04,88
2022-09-11,95
2022-09-18,87
2022-09-25,93
2022-10-02,83
2022-10-09,81
2022-10-16,77
2022-10-23,77
2022-10-30,80
2022-11-06,85
2022-11-13,81
2022-11-20,83
2022-11-27,77
2022-12-04,82
2022-12-11,81
2022-12-18,80
2022-12-25,100
2023-01-01,90
2023-01-08,85
2023-01-15,78
2023-01-22,82
2023-01-29,78
2023-02-05,77
2023-02-12,77
2023-02-19,79
2023-02-26,73
2023-03-05,70
2023-03-12,74
2023-03-19,72
2023-03-26,73
2023-04-02,77
2023-04-09,74
2023-04-16,76
2023-04-23,76
2023-04-30,76
2023-05-07,67
2023-05-14,71
2023-05-21,71
2023-05-28,75
2023-06-04,79
2023-06-11,76
2023-06-18,73
2023-06-25,73
2023-07-02,75
2023-07-09,77
2023-07-16,77
2023-07-23,73
2023-07-30,74
2023-08-06,73
2023-08-13,71
2023-08-20,69
2023-08-27,71
2023-09-03,75
2023-09-10,72
2023-09-17,76
2023-09-24,75
2023-10-01,78
2023-10-08,86
2023-10-15,87
2023-10-22,93
2023-10-29,93
2023-11-05,87
2023-11-12,81
2023-11-19,85
2023-11-26,79
2023-12-03,79
2023-12-10,75
2023-12-17,78
2023-12-24,92
2023-12-31,86
2024-01-07,78
2024-01-14,74
2024-01-21,74
2024-01-28,68
2024-02-04,76
2024-02-11,71
2024-02-18,71
2024-02-25,72
2024-03-03,67
2024-03-10,69
2024-03-17,70
2024-03-24,76
2024-03-31,74
2024-04-07,68
2024-04-14,60
2024-04-21,64
2024-04-28,63
2024-05-05,64
2024-05-12,65
2024-05-19,62
2024-05-26,67
2024-06-02,65
2024-06-09,69
2024-06-16,71
2024-06-23,74
2024-06-30,72
2024-07-07,69
2024-07-14,71
2024-07-21,70
2024-07-28,70
2024-08-04,72
2024-08-11,82
2024-08-18,76
2024-08-25,72
2024-09-01,74
2024-09-08,71
2024-09-15,70
2024-09-22,77
2024-09-29,76
2024-10-06,79
2024-10-13,74
2024-10-20,73
2024-10-27,76
2024-11-03,70
2024-11-10,78
2024-11-17,76
2024-11-24,83
2024-12-01,81
2024-12-08,77
2024-12-15,78
2024-12-22,92
2024-12-29,91
2025-01-05,79
2025-01-12,77
2025-01-19,74
2025-01-26,73
2025-02-02,72
2025-02-09,74
2025-02-16,72
2025-02-23,74
2025-03-02,79
2025-03-09,79
2025-03-16,77
2025-03-23,80
2025-03-30,77
2025-04-06,73
2025-04-13,73
2025-04-20,71
2025-04-27,71
2025-05-04,70
2025-05-11,72
2025-05-18,72
2025-05-25,74
2025-06-01,70
2025-06-08,71
2025-06-15,69
2025-06-22,68
2025-06-29,77
2025-07-06,71
2025-07-13,69
2025-07-20,68
2025-07-27,70
2025-08-03,76
2025-08-10,76
2025-08-17,76
2025-08-24,74
2025-08-31,74
2025-09-07,72
2025-09-14,78
2025-09-21,85
2025-09-28,76
2025-10-05,72
2025-10-12,74
2025-10-19,73
2025-10-26,74
2025-11-02,80
2025-11-09,79
2025-11-16,76
2025-11-23,80
2025-11-30,79
2025-12-07,78
2025-12-14,78
2025-12-21,87
2025-12-28,88
2026-01-04,82
2026-01-11,78
2026-01-18,71
2026-01-25,75
2026-02-01,72
2026-02-08,77
2026-02-15,79
2026-02-22,80
2026-03-01,76
2026-03-08,74
2026-03-15,78
2026-03-22,80
2026-03-29,83
2026-04-05,83
2026-04-12,79
2026-04-19,75
2026-04-26,80
2026-05-03,86
2026-05-10,87
2026-05-17,72
2026-05-24,74
2026-05-31,78
2026-06-07,79
2026-06-14,77
2026-06-21,75
2026-06-28,70
2026-07-05,72
2026-07-12,70
2026-07-19,70
2026-07-26,81
