date,search_interest
2021-08-01,42
2021-08-08,43
2021-08-15,42
2021-08-22,45
2021-08-29,46
2021-09-05,47
2021-09-12,70
2021-09-19,56
2021-09-26,56
2021-10-03,52
2021-10-10,53
2021-10-17,56
2021-10-24,52
2021-10-31,50
2021-11-07,50
2021-11-14,52
2021-11-21,64
2021-11-28,56
2021-12-05,53
2021-12-12,53
2021-12-19,57
2021-12-26,59
2022-01-02,55
2022-01-09,52
2022-01-16,50
2022-01-23,49
2022-01-30,49
2022-02-06,48
2022-02-13,45
2022-02-20,43
2022-02-27,45
2022-03-06,48
2022-03-13,45
2022-03-20,48
2022-03-27,44
2022-04-03,43
2022-04-10,43
2022-04-17,43
2022-04-24,42
2022-05-01,42
2022-05-08,44
2022-05-15,43
2022-05-22,46
2022-05-29,42
2022-06-05,48
2022-06-12,41
2022-06-19,45
2022-06-26,44
2022-07-03,44
2022-07-10,49
2022-07-17,46
2022-07-24,47
2022-07-31,48
2022-08-07,48
2022-08-14,49
2022-08-21,51
2022-08-28,46
2022-09-04,73
2022-09-11,61
2022-09-18,61
2022-09-25,58
2022-10-02,54
2022-10-09,51
2022-10-16,54
2022-10-23,50
2022-10-30,49
2022-11-06,49
2022-11-13,51
2022-11-20,58
2022-11-27,59
2022-12-04,49
2022-12-11,50
2022-12-18,50
2022-12-25,60
2023-01-01,52
2023-01-08,47
2023-01-15,50
2023-01-22,47
2023-01-29,51
2023-02-05,46
2023-02-12,46
2023-02-19,45
2023-02-26,45
2023-03-05,43
2023-03-12,42
2023-03-19,43
2023-03-26,43
2023-04-02,44
2023-04-09,43
2023-04-16,43
2023-04-23,42
2023-04-30,44
2023-05-07,42
2023-05-14,42
2023-05-21,42
2023-05-28,43
2023-06-04,61
2023-06-11,47
2023-06-18,46
2023-06-25,45
2023-07-02,46
2023-07-09,51
2023-07-16,47
2023-07-23,44
2023-07-30,46
2023-08-06,47
2023-08-13,47
2023-08-20,46
2023-08-27,47
2023-09-03,48
2023-09-10,73
2023-09-17,63
2023-09-24,58
2023-10-01,54
2023-10-08,53
2023-10-15,50
2023-10-22,49
2023-10-29,51
2023-11-05,48
2023-11-12,51
2023-11-19,58
2023-11-26,53
2023-12-03,49
2023-12-10,49
2023-12-17,49
2023-12-24,57
2023-12-31,51
2024-01-07,48
2024-01-14,46
2024-01-21,47
2024-01-28,49
2024-02-04,59
2024-02-11,51
2024-02-18,49
2024-02-25,51
2024-03-03,48
2024-03-10,44
2024-03-17,47
2024-03-24,47
2024-03-31,45
2024-04-07,47
2024-04-14,45
2024-04-21,45
2024-04-28,47
2024-05-05,52
2024-05-12,45
2024-05-19,46
2024-05-26,45
2024-06-02,45
2024-06-09,55
2024-06-16,50
2024-06-23,45
2024-06-30,46
2024-07-07,46
2024-07-14,50
2024-07-21,51
2024-07-28,48
2024-08-04,48
2024-08-11,50
2024-08-18,52
2024-08-25,51
2024-09-01,52
2024-09-08,81
2024-09-15,64
2024-09-22,61
2024-09-29,57
2024-10-06,59
2024-10-13,56
2024-10-20,56
2024-10-27,56
2024-11-03,53
2024-11-10,53
2024-11-17,57
2024-11-24,67
2024-12-01,62
2024-12-08,57
2024-12-15,57
2024-12-22,66
2024-12-29,62
2025-01-05,56
2025-01-12,54
2025-01-19,53
2025-01-26,51
2025-02-02,52
2025-02-09,53
2025-02-16,52
2025-02-23,52
2025-03-02,49
2025-03-09,52
2025-03-16,51
2025-03-23,50
2025-03-30,52
2025-04-06,53
2025-04-13,48
2025-04-20,49
2025-04-27,48
2025-05-04,48
2025-05-11,51
2025-05-18,48
2025-05-25,48
2025-06-01,47
2025-06-08,54
2025-06-15,51
2025-06-22,49
2025-06-29,50
2025-07-06,52
2025-07-13,51
2025-07-20,53
2025-07-27,55
2025-08-03,61
2025-08-10,64
2025-08-17,67
2025-08-24,63
2025-08-31,68
2025-09-07,100
2025-09-14,84
2025-09-21,83
2025-09-28,77
2025-10-05,72
2025-10-12,68
2025-10-19,65
2025-10-26,64
2025-11-02,67
2025-11-09,65
2025-11-16,68
2025-11-23,78
2025-11-30,75
2025-12-07,65
2025-12-14,70
2025-12-21,72
2025-12-28,66
2026-01-04,63
2026-01-11,65
2026-01-18,62
2026-01-25,66
2026-02-01,63
2026-02-08,64
2026-02-15,67
2026-02-22,63
2026-03-01,72
2026-03-08,67
2026-03-15,67
2026-03-22,73
2026-03-29,87
2026-04-05,82
2026-04-12,88
2026-04-19,80
2026-04-26,79
2026-05-03,88
2026-05-10,89
2026-05-17,75
2026-05-24,72
2026-05-31,81
2026-06-07,74
2026-06-14,76
2026-06-21,76
2026-06-28,67
2026-07-05,66
2026-07-12,59
2026-07-19,59
2026-07-26,63
