date,search_interest
2021-08-01,36
2021-08-08,36
2021-08-15,38
2021-08-22,40
2021-08-29,64
2021-09-05,44
2021-09-12,43
2021-09-19,40
2021-09-26,40
2021-10-03,40
2021-10-10,38
2021-10-17,41
2021-10-24,48
2021-10-31,42
2021-11-07,39
2021-11-14,42
2021-11-21,32
2021-11-28,40
2021-12-05,46
2021-12-12,48
2021-12-19,37
2021-12-26,36
2022-01-02,44
2022-01-09,45
2022-01-16,43
2022-01-23,52
2022-01-30,49
2022-02-06,48
2022-02-13,45
2022-02-20,44
2022-02-27,44
2022-03-06,45
2022-03-13,49
2022-03-20,48
2022-03-27,46
2022-04-03,49
2022-04-10,46
2022-04-17,41
2022-04-24,48
2022-05-01,44
2022-05-08,43
2022-05-15,40
2022-05-22,38
2022-05-29,37
2022-06-05,42
2022-06-12,40
2022-06-19,41
2022-06-26,38
2022-07-03,39
2022-07-10,39
2022-07-17,38
2022-07-24,43
2022-07-31,40
2022-08-07,37
2022-08-14,36
2022-08-21,34
2022-08-28,35
2022-09-04,30
2022-09-11,38
2022-09-18,38
2022-09-25,38
2022-10-02,36
2022-10-09,38
2022-10-16,38
2022-10-23,44
2022-10-30,39
2022-11-06,39
2022-11-13,38
2022-11-20,31
2022-11-27,37
2022-12-04,36
2022-12-11,36
2022-12-18,30
2022-12-25,24
2023-01-01,35
2023-01-08,44
2023-01-15,40
2023-01-22,42
2023-01-29,47
2023-02-05,50
2023-02-12,43
2023-02-19,44
2023-02-26,41
2023-03-05,40
2023-03-12,38
2023-03-19,40
2023-03-26,40
2023-04-02,37
2023-04-09,39
2023-04-16,40
2023-04-23,47
2023-04-30,37
2023-05-07,37
2023-05-14,38
2023-05-21,37
2023-05-28,38
2023-06-04,40
2023-06-11,41
2023-06-18,36
2023-06-25,41
2023-07-02,34
2023-07-09,41
2023-07-16,41
2023-07-23,45
2023-07-30,37
2023-08-06,36
2023-08-13,36
2023-08-20,34
2023-08-27,36
2023-09-03,34
2023-09-10,38
2023-09-17,37
2023-09-24,38
2023-10-01,36
2023-10-08,36
2023-10-15,38
2023-10-22,39
2023-10-29,37
2023-11-05,39
2023-11-12,37
2023-11-19,28
2023-11-26,46
2023-12-03,44
2023-12-10,42
2023-12-17,36
2023-12-24,25
2023-12-31,37
2024-01-07,46
2024-01-14,41
2024-01-21,50
2024-01-28,48
2024-02-04,51
2024-02-11,47
2024-02-18,50
2024-02-25,46
2024-03-03,47
2024-03-10,44
2024-03-17,51
2024-03-24,45
2024-03-31,45
2024-04-07,45
2024-04-14,43
2024-04-21,45
2024-04-28,44
2024-05-05,38
2024-05-12,40
2024-05-19,38
2024-05-26,38
2024-06-02,41
2024-06-09,42
2024-06-16,43
2024-06-23,42
2024-06-30,35
2024-07-07,43
2024-07-14,42
2024-07-21,46
2024-07-28,45
2024-08-04,43
2024-08-11,42
2024-08-18,42
2024-08-25,44
2024-09-01,39
2024-09-08,44
2024-09-15,44
2024-09-22,44
2024-09-29,42
2024-10-06,41
2024-10-13,42
2024-10-20,44
2024-10-27,50
2024-11-03,43
2024-11-10,71
2024-11-17,49
2024-11-24,38
2024-12-01,44
2024-12-08,46
2024-12-15,42
2024-12-22,26
2024-12-29,30
2025-01-05,46
2025-01-12,48
2025-01-19,45
2025-01-26,59
2025-02-02,53
2025-02-09,51
2025-02-16,51
2025-02-23,50
2025-03-02,53
2025-03-09,53
2025-03-16,51
2025-03-23,49
2025-03-30,56
2025-04-06,55
2025-04-13,46
2025-04-20,50
2025-04-27,49
2025-05-04,46
2025-05-11,53
2025-05-18,45
2025-05-25,43
2025-06-01,47
2025-06-08,47
2025-06-15,47
2025-06-22,47
2025-06-29,46
2025-07-06,51
2025-07-13,53
2025-07-20,51
2025-07-27,59
2025-08-03,61
2025-08-10,78
2025-08-17,73
2025-08-24,62
2025-08-31,61
2025-09-07,64
2025-09-14,66
2025-09-21,68
2025-09-28,80
2025-10-05,64
2025-10-12,64
2025-10-19,62
2025-10-26,66
2025-11-02,62
2025-11-09,68
2025-11-16,70
2025-11-23,59
2025-11-30,67
2025-12-07,66
2025-12-14,61
2025-12-21,38
2025-12-28,37
2026-01-04,62
2026-01-11,77
2026-01-18,60
2026-01-25,73
2026-02-01,86
2026-02-08,78
2026-02-15,67
2026-02-22,73
2026-03-01,75
2026-03-08,71
2026-03-15,79
2026-03-22,71
2026-03-29,78
2026-04-05,87
2026-04-12,75
2026-04-19,75
2026-04-26,74
2026-05-03,77
2026-05-10,75
2026-05-17,70
2026-05-24,67
2026-05-31,72
2026-06-07,69
2026-06-14,66
2026-06-21,100
2026-06-28,87
2026-07-05,88
2026-07-12,78
2026-07-19,69
2026-07-26,73
