date,search_interest
2021-08-01,54
2021-08-08,57
2021-08-15,53
2021-08-22,51
2021-08-29,47
2021-09-05,48
2021-09-12,47
2021-09-19,46
2021-09-26,43
2021-10-03,46
2021-10-10,46
2021-10-17,45
2021-10-24,42
2021-10-31,41
2021-11-07,42
2021-11-14,39
2021-11-21,37
2021-11-28,35
2021-12-05,34
2021-12-12,36
2021-12-19,35
2021-12-26,44
2022-01-02,45
2022-01-09,42
2022-01-16,41
2022-01-23,44
2022-01-30,48
2022-02-06,51
2022-02-13,52
2022-02-20,53
2022-02-27,50
2022-03-06,50
2022-03-13,50
2022-03-20,51
2022-03-27,52
2022-04-03,54
2022-04-10,53
2022-04-17,53
2022-04-24,58
2022-05-01,57
2022-05-08,56
2022-05-15,56
2022-05-22,60
2022-05-29,60
2022-06-05,63
2022-06-12,61
2022-06-19,64
2022-06-26,63
2022-07-03,67
2022-07-10,66
2022-07-17,66
2022-07-24,68
2022-07-31,66
2022-08-07,65
2022-08-14,61
2022-08-21,59
2022-08-28,57
2022-09-04,55
2022-09-11,56
2022-09-18,52
2022-09-25,49
2022-10-02,53
2022-10-09,50
2022-10-16,49
2022-10-23,51
2022-10-30,46
2022-11-06,48
2022-11-13,48
2022-11-20,44
2022-11-27,44
2022-12-04,43
2022-12-11,44
2022-12-18,45
2022-12-25,56
2023-01-01,61
2023-01-08,60
2023-01-15,58
2023-01-22,58
2023-01-29,57
2023-02-05,56
2023-02-12,56
2023-02-19,56
2023-02-26,54
2023-03-05,55
2023-03-12,52
2023-03-19,53
2023-03-26,56
2023-04-02,55
2023-04-09,55
2023-04-16,59
2023-04-23,57
2023-04-30,56
2023-05-07,53
2023-05-14,56
2023-05-21,58
2023-05-28,59
2023-06-04,61
2023-06-11,65
2023-06-18,64
2023-06-25,67
2023-07-02,70
2023-07-09,71
2023-07-16,70
2023-07-23,71
2023-07-30,69
2023-08-06,70
2023-08-13,65
2023-08-20,60
2023-08-27,57
2023-09-03,59
2023-09-10,58
2023-09-17,56
2023-09-24,55
2023-10-01,53
2023-10-08,52
2023-10-15,51
2023-10-22,50
2023-10-29,47
2023-11-05,49
2023-11-12,48
2023-11-19,49
2023-11-26,49
2023-12-03,46
2023-12-10,44
2023-12-17,48
2023-12-24,54
2023-12-31,58
2024-01-07,60
2024-01-14,58
2024-01-21,61
2024-01-28,56
2024-02-04,58
2024-02-11,58
2024-02-18,59
2024-02-25,59
2024-03-03,56
2024-03-10,55
2024-03-17,57
2024-03-24,59
2024-03-31,56
2024-04-07,56
2024-04-14,54
2024-04-21,56
2024-04-28,58
2024-05-05,55
2024-05-12,56
2024-05-19,60
2024-05-26,60
2024-06-02,59
2024-06-09,59
2024-06-16,58
2024-06-23,60
2024-06-30,62
2024-07-07,62
2024-07-14,66
2024-07-21,67
2024-07-28,63
2024-08-04,62
2024-08-11,64
2024-08-18,65
2024-08-25,57
2024-09-01,55
2024-09-08,54
2024-09-15,52
2024-09-22,51
2024-09-29,49
2024-10-06,50
2024-10-13,49
2024-10-20,50
2024-10-27,48
2024-11-03,46
2024-11-10,47
2024-11-17,45
2024-11-24,45
2024-12-01,47
2024-12-08,45
2024-12-15,45
2024-12-22,50
2024-12-29,56
2025-01-05,55
2025-01-12,56
2025-01-19,52
2025-01-26,53
2025-02-02,52
2025-02-09,53
2025-02-16,52
2025-02-23,50
2025-03-02,48
2025-03-09,48
2025-03-16,52
2025-03-23,53
2025-03-30,55
2025-04-06,53
2025-04-13,54
2025-04-20,53
2025-04-27,55
2025-05-04,53
2025-05-11,52
2025-05-18,56
2025-05-25,58
2025-06-01,55
2025-06-08,54
2025-06-15,53
2025-06-22,57
2025-06-29,56
2025-07-06,55
2025-07-13,56
2025-07-20,60
2025-07-27,64
2025-08-03,82
2025-08-10,95
2025-08-17,83
2025-08-24,75
2025-08-31,80
2025-09-07,81
2025-09-14,81
2025-09-21,79
2025-09-28,87
2025-10-05,86
2025-10-12,82
2025-10-19,77
2025-10-26,71
2025-11-02,74
2025-11-09,77
2025-11-16,88
2025-11-23,88
2025-11-30,84
2025-12-07,71
2025-12-14,71
2025-12-21,59
2025-12-28,65
2026-01-04,64
2026-01-11,72
2026-01-18,73
2026-01-25,90
2026-02-01,72
2026-02-08,70
2026-02-15,66
2026-02-22,69
2026-03-01,69
2026-03-08,69
2026-03-15,65
2026-03-22,64
2026-03-29,72
2026-04-05,82
2026-04-12,100
2026-04-19,73
2026-04-26,74
2026-05-03,82
2026-05-10,82
2026-05-17,74
2026-05-24,76
2026-05-31,78
2026-06-07,84
2026-06-14,97
2026-06-21,94
2026-06-28,81
2026-07-05,81
2026-07-12,69
2026-07-19,65
2026-07-26,63
