date,search_interest
2021-08-01,56
2021-08-08,55
2021-08-15,55
2021-08-22,54
2021-08-29,59
2021-09-05,55
2021-09-12,61
2021-09-19,59
2021-09-26,62
2021-10-03,62
2021-10-10,59
2021-10-17,61
2021-10-24,60
2021-10-31,56
2021-11-07,59
2021-11-14,63
2021-11-21,52
2021-11-28,62
2021-12-05,59
2021-12-12,61
2021-12-19,49
2021-12-26,38
2022-01-02,54
2022-01-09,63
2022-01-16,63
2022-01-23,60
2022-01-30,69
2022-02-06,68
2022-02-13,71
2022-02-20,64
2022-02-27,67
2022-03-06,65
2022-03-13,66
2022-03-20,65
2022-03-27,66
2022-04-03,63
2022-04-10,59
2022-04-17,63
2022-04-24,64
2022-05-01,57
2022-05-08,65
2022-05-15,66
2022-05-22,61
2022-05-29,59
2022-06-05,62
2022-06-12,60
2022-06-19,61
2022-06-26,58
2022-07-03,55
2022-07-10,57
2022-07-17,59
2022-07-24,56
2022-07-31,57
2022-08-07,57
2022-08-14,60
2022-08-21,58
2022-08-28,56
2022-09-04,57
2022-09-11,59
2022-09-18,60
2022-09-25,63
2022-10-02,59
2022-10-09,60
2022-10-16,60
2022-10-23,59
2022-10-30,57
2022-11-06,58
2022-11-13,65
2022-11-20,56
2022-11-27,58
2022-12-04,57
2022-12-11,57
2022-12-18,49
2022-12-25,37
2023-01-01,47
2023-01-08,57
2023-01-15,58
2023-01-22,58
2023-01-29,62
2023-02-05,65
2023-02-12,63
2023-02-19,57
2023-02-26,63
2023-03-05,59
2023-03-12,60
2023-03-19,59
2023-03-26,58
2023-04-02,55
2023-04-09,56
2023-04-16,58
2023-04-23,58
2023-04-30,55
2023-05-07,59
2023-05-14,59
2023-05-21,59
2023-05-28,56
2023-06-04,59
2023-06-11,59
2023-06-18,55
2023-06-25,57
2023-07-02,54
2023-07-09,62
2023-07-16,57
2023-07-23,61
2023-07-30,56
2023-08-06,57
2023-08-13,57
2023-08-20,58
2023-08-27,56
2023-09-03,54
2023-09-10,57
2023-09-17,64
2023-09-24,62
2023-10-01,61
2023-10-08,60
2023-10-15,65
2023-10-22,65
2023-10-29,54
2023-11-05,60
2023-11-12,59
2023-11-19,54
2023-11-26,60
2023-12-03,61
2023-12-10,55
2023-12-17,51
2023-12-24,35
2023-12-31,41
2024-01-07,56
2024-01-14,56
2024-01-21,63
2024-01-28,67
2024-02-04,69
2024-02-11,72
2024-02-18,71
2024-02-25,68
2024-03-03,67
2024-03-10,66
2024-03-17,69
2024-03-24,58
2024-03-31,58
2024-04-07,61
2024-04-14,65
2024-04-21,68
2024-04-28,62
2024-05-05,61
2024-05-12,66
2024-05-19,64
2024-05-26,63
2024-06-02,66
2024-06-09,65
2024-06-16,57
2024-06-23,66
2024-06-30,56
2024-07-07,57
2024-07-14,60
2024-07-21,63
2024-07-28,55
2024-08-04,61
2024-08-11,64
2024-08-18,67
2024-08-25,60
2024-09-01,61
2024-09-08,63
2024-09-15,65
2024-09-22,61
2024-09-29,62
2024-10-06,61
2024-10-13,63
2024-10-20,69
2024-10-27,62
2024-11-03,61
2024-11-10,65
2024-11-17,66
2024-11-24,58
2024-12-01,63
2024-12-08,61
2024-12-15,59
2024-12-22,39
2024-12-29,37
2025-01-05,56
2025-01-12,61
2025-01-19,66
2025-01-26,60
2025-02-02,66
2025-02-09,69
2025-02-16,65
2025-02-23,65
2025-03-02,65
2025-03-09,64
2025-03-16,64
2025-03-23,65
2025-03-30,63
2025-04-06,63
2025-04-13,55
2025-04-20,62
2025-04-27,54
2025-05-04,60
2025-05-11,66
2025-05-18,63
2025-05-25,59
2025-06-01,61
2025-06-08,65
2025-06-15,67
2025-06-22,63
2025-06-29,62
2025-07-06,61
2025-07-13,63
2025-07-20,65
2025-07-27,68
2025-08-03,75
2025-08-10,87
2025-08-17,83
2025-08-24,74
2025-08-31,75
2025-09-07,74
2025-09-14,76
2025-09-21,86
2025-09-28,87
2025-10-05,87
2025-10-12,78
2025-10-19,75
2025-10-26,72
2025-11-02,75
2025-11-09,81
2025-11-16,79
2025-11-23,72
2025-11-30,76
2025-12-07,72
2025-12-14,69
2025-12-21,45
2025-12-28,37
2026-01-04,59
2026-01-11,68
2026-01-18,73
2026-01-25,74
2026-02-01,76
2026-02-08,81
2026-02-15,74
2026-02-22,80
2026-03-01,76
2026-03-08,75
2026-03-15,73
2026-03-22,81
2026-03-29,77
2026-04-05,81
2026-04-12,83
2026-04-19,83
2026-04-26,72
2026-05-03,81
2026-05-10,100
2026-05-17,88
2026-05-24,83
2026-05-31,91
2026-06-07,86
2026-06-14,79
2026-06-21,81
2026-06-28,68
2026-07-05,73
2026-07-12,61
2026-07-19,61
2026-07-26,69
