date,search_interest
2021-08-01,42
2021-08-08,44
2021-08-15,43
2021-08-22,46
2021-08-29,43
2021-09-05,39
2021-09-12,38
2021-09-19,40
2021-09-26,38
2021-10-03,37
2021-10-10,40
2021-10-17,40
2021-10-24,38
2021-10-31,39
2021-11-07,37
2021-11-14,36
2021-11-21,41
2021-11-28,35
2021-12-05,37
2021-12-12,37
2021-12-19,51
2021-12-26,53
2022-01-02,39
2022-01-09,34
2022-01-16,32
2022-01-23,38
2022-01-30,40
2022-02-06,40
2022-02-13,41
2022-02-20,41
2022-02-27,43
2022-03-06,44
2022-03-13,47
2022-03-20,46
2022-03-27,46
2022-04-03,44
2022-04-10,49
2022-04-17,48
2022-04-24,47
2022-05-01,49
2022-05-08,49
2022-05-15,52
2022-05-22,51
2022-05-29,55
2022-06-05,54
2022-06-12,57
2022-06-19,57
2022-06-26,58
2022-07-03,59
2022-07-10,60
2022-07-17,60
2022-07-24,59
2022-07-31,60
2022-08-07,56
2022-08-14,59
2022-08-21,57
2022-08-28,57
2022-09-04,54
2022-09-11,55
2022-09-18,59
2022-09-25,59
2022-10-02,69
2022-10-09,72
2022-10-16,77
2022-10-23,72
2022-10-30,66
2022-11-06,62
2022-11-13,59
2022-11-20,66
2022-11-27,57
2022-12-04,62
2022-12-11,63
2022-12-18,72
2022-12-25,100
2023-01-01,78
2023-01-08,63
2023-01-15,58
2023-01-22,69
2023-01-29,64
2023-02-05,64
2023-02-12,70
2023-02-19,66
2023-02-26,67
2023-03-05,65
2023-03-12,67
2023-03-19,65
2023-03-26,74
2023-04-02,75
2023-04-09,71
2023-04-16,67
2023-04-23,69
2023-04-30,69
2023-05-07,62
2023-05-14,61
2023-05-21,63
2023-05-28,69
2023-06-04,59
2023-06-11,73
2023-06-18,72
2023-06-25,82
2023-07-02,85
2023-07-09,83
2023-07-16,77
2023-07-23,74
2023-07-30,75
2023-08-06,75
2023-08-13,74
2023-08-20,65
2023-08-27,67
2023-09-03,67
2023-09-10,64
2023-09-17,72
2023-09-24,68
2023-10-01,66
2023-10-08,70
2023-10-15,76
2023-10-22,71
2023-10-29,69
2023-11-05,68
2023-11-12,66
2023-11-19,75
2023-11-26,66
2023-12-03,66
2023-12-10,67
2023-12-17,63
2023-12-24,98
2023-12-31,79
2024-01-07,57
2024-01-14,59
2024-01-21,59
2024-01-28,59
2024-02-04,59
2024-02-11,60
2024-02-18,60
2024-02-25,62
2024-03-03,58
2024-03-10,61
2024-03-17,59
2024-03-24,68
2024-03-31,68
2024-04-07,60
2024-04-14,60
2024-04-21,61
2024-04-28,62
2024-05-05,61
2024-05-12,60
2024-05-19,61
2024-05-26,70
2024-06-02,64
2024-06-09,65
2024-06-16,66
2024-06-23,69
2024-06-30,71
2024-07-07,68
2024-07-14,72
2024-07-21,68
2024-07-28,68
2024-08-04,65
2024-08-11,77
2024-08-18,69
2024-08-25,73
2024-09-01,63
2024-09-08,62
2024-09-15,73
2024-09-22,65
2024-09-29,63
2024-10-06,72
2024-10-13,71
2024-10-20,82
2024-10-27,65
2024-11-03,58
2024-11-10,60
2024-11-17,60
2024-11-24,65
2024-12-01,58
2024-12-08,63
2024-12-15,59
2024-12-22,94
2024-12-29,72
2025-01-05,54
2025-01-12,53
2025-01-19,55
2025-01-26,56
2025-02-02,53
2025-02-09,51
2025-02-16,56
2025-02-23,56
2025-03-02,57
2025-03-09,54
2025-03-16,56
2025-03-23,56
2025-03-30,70
2025-04-06,64
2025-04-13,66
2025-04-20,63
2025-04-27,63
2025-05-04,57
2025-05-11,56
2025-05-18,55
2025-05-25,63
2025-06-01,62
2025-06-08,61
2025-06-15,61
2025-06-22,69
2025-06-29,67
2025-07-06,77
2025-07-13,72
2025-07-20,73
2025-07-27,75
2025-08-03,79
2025-08-10,90
2025-08-17,82
2025-08-24,72
2025-08-31,79
2025-09-07,75
2025-09-14,71
2025-09-21,69
2025-09-28,74
2025-10-05,69
2025-10-12,77
2025-10-19,79
2025-10-26,71
2025-11-02,65
2025-11-09,69
2025-11-16,69
2025-11-23,76
2025-11-30,85
2025-12-07,72
2025-12-14,69
2025-12-21,99
2025-12-28,82
2026-01-04,60
2026-01-11,60
2026-01-18,59
2026-01-25,64
2026-02-01,62
2026-02-08,63
2026-02-15,61
2026-02-22,64
2026-03-01,67
2026-03-08,61
2026-03-15,66
2026-03-22,63
2026-03-29,73
2026-04-05,66
2026-04-12,64
2026-04-19,65
2026-04-26,68
2026-05-03,70
2026-05-10,69
2026-05-17,61
2026-05-24,65
2026-05-31,72
2026-06-07,74
2026-06-14,71
2026-06-21,64
2026-06-28,66
2026-07-05,66
2026-07-12,63
2026-07-19,61
2026-07-26,55
