date,search_interest
2021-08-01,68
2021-08-08,72
2021-08-15,68
2021-08-22,67
2021-08-29,68
2021-09-05,67
2021-09-12,61
2021-09-19,58
2021-09-26,61
2021-10-03,65
2021-10-10,63
2021-10-17,62
2021-10-24,62
2021-10-31,63
2021-11-07,68
2021-11-14,71
2021-11-21,95
2021-11-28,83
2021-12-05,79
2021-12-12,79
2021-12-19,77
2021-12-26,73
2022-01-02,67
2022-01-09,67
2022-01-16,60
2022-01-23,62
2022-01-30,65
2022-02-06,61
2022-02-13,65
2022-02-20,63
2022-02-27,65
2022-03-06,65
2022-03-13,67
2022-03-20,70
2022-03-27,67
2022-04-03,71
2022-04-10,69
2022-04-17,73
2022-04-24,70
2022-05-01,71
2022-05-08,67
2022-05-15,65
2022-05-22,66
2022-05-29,66
2022-06-05,63
2022-06-12,60
2022-06-19,63
2022-06-26,64
2022-07-03,66
2022-07-10,65
2022-07-17,65
2022-07-24,67
2022-07-31,70
2022-08-07,75
2022-08-14,73
2022-08-21,72
2022-08-28,73
2022-09-04,66
2022-09-11,67
2022-09-18,66
2022-09-25,66
2022-10-02,66
2022-10-09,64
2022-10-16,61
2022-10-23,64
2022-10-30,67
2022-11-06,73
2022-11-13,84
2022-11-20,100
2022-11-27,84
2022-12-04,82
2022-12-11,82
2022-12-18,83
2022-12-25,82
2023-01-01,72
2023-01-08,66
2023-01-15,69
2023-01-22,67
2023-01-29,69
2023-02-05,67
2023-02-12,63
2023-02-19,69
2023-02-26,68
2023-03-05,67
2023-03-12,67
2023-03-19,69
2023-03-26,66
2023-04-02,70
2023-04-09,73
2023-04-16,74
2023-04-23,68
2023-04-30,68
2023-05-07,70
2023-05-14,72
2023-05-21,65
2023-05-28,72
2023-06-04,65
2023-06-11,67
2023-06-18,61
2023-06-25,65
2023-07-02,66
2023-07-09,64
2023-07-16,64
2023-07-23,68
2023-07-30,69
2023-08-06,71
2023-08-13,65
2023-08-20,67
2023-08-27,69
2023-09-03,65
2023-09-10,60
2023-09-17,65
2023-09-24,63
2023-10-01,65
2023-10-08,65
2023-10-15,65
2023-10-22,60
2023-10-29,59
2023-11-05,66
2023-11-12,72
2023-11-19,95
2023-11-26,81
2023-12-03,75
2023-12-10,80
2023-12-17,73
2023-12-24,75
2023-12-31,64
2024-01-07,61
2024-01-14,59
2024-01-21,58
2024-01-28,57
2024-02-04,59
2024-02-11,59
2024-02-18,62
2024-02-25,61
2024-03-03,61
2024-03-10,56
2024-03-17,61
2024-03-24,62
2024-03-31,64
2024-04-07,62
2024-04-14,60
2024-04-21,61
2024-04-28,63
2024-05-05,59
2024-05-12,59
2024-05-19,62
2024-05-26,57
2024-06-02,59
2024-06-09,57
2024-06-16,56
2024-06-23,55
2024-06-30,57
2024-07-07,58
2024-07-14,61
2024-07-21,62
2024-07-28,62
2024-08-04,64
2024-08-11,62
2024-08-18,64
2024-08-25,62
2024-09-01,63
2024-09-08,61
2024-09-15,56
2024-09-22,56
2024-09-29,57
2024-10-06,58
2024-10-13,57
2024-10-20,57
2024-10-27,56
2024-11-03,58
2024-11-10,63
2024-11-17,70
2024-11-24,87
2024-12-01,74
2024-12-08,71
2024-12-15,70
2024-12-22,69
2024-12-29,60
2025-01-05,59
2025-01-12,54
2025-01-19,52
2025-01-26,55
2025-02-02,57
2025-02-09,54
2025-02-16,50
2025-02-23,56
2025-03-02,56
2025-03-09,59
2025-03-16,60
2025-03-23,59
2025-03-30,60
2025-04-06,59
2025-04-13,58
2025-04-20,56
2025-04-27,58
2025-05-04,57
2025-05-11,53
2025-05-18,54
2025-05-25,54
2025-06-01,57
2025-06-08,55
2025-06-15,52
2025-06-22,52
2025-06-29,54
2025-07-06,58
2025-07-13,55
2025-07-20,57
2025-07-27,62
2025-08-03,63
2025-08-10,61
2025-08-17,62
2025-08-24,64
2025-08-31,63
2025-09-07,57
2025-09-14,51
2025-09-21,56
2025-09-28,56
2025-10-05,57
2025-10-12,55
2025-10-19,54
2025-10-26,52
2025-11-02,54
2025-11-09,62
2025-11-16,71
2025-11-23,83
2025-11-30,74
2025-12-07,66
2025-12-14,67
2025-12-21,67
2025-12-28,56
2026-01-04,57
2026-01-11,57
2026-01-18,52
2026-01-25,52
2026-02-01,53
2026-02-08,56
2026-02-15,57
2026-02-22,56
2026-03-01,60
2026-03-08,61
2026-03-15,61
2026-03-22,76
2026-03-29,93
2026-04-05,92
2026-04-12,95
2026-04-19,85
2026-04-26,84
2026-05-03,85
2026-05-10,86
2026-05-17,74
2026-05-24,72
2026-05-31,74
2026-06-07,65
2026-06-14,65
2026-06-21,62
2026-06-28,59
2026-07-05,57
2026-07-12,55
2026-07-19,55
2026-07-26,54
