date,search_interest
2021-08-01,16
2021-08-08,17
2021-08-15,15
2021-08-22,14
2021-08-29,15
2021-09-05,15
2021-09-12,17
2021-09-19,16
2021-09-26,19
2021-10-03,16
2021-10-10,17
2021-10-17,15
2021-10-24,19
2021-10-31,21
2021-11-07,18
2021-11-14,26
2021-11-21,16
2021-11-28,18
2021-12-05,16
2021-12-12,18
2021-12-19,16
2021-12-26,17
2022-01-02,20
2022-01-09,20
2022-01-16,20
2022-01-23,21
2022-01-30,20
2022-02-06,22
2022-02-13,22
2022-02-20,23
2022-02-27,20
2022-03-06,18
2022-03-13,20
2022-03-20,17
2022-03-27,20
2022-04-03,19
2022-04-10,17
2022-04-17,20
2022-04-24,16
2022-05-01,21
2022-05-08,20
2022-05-15,17
2022-05-22,14
2022-05-29,17
2022-06-05,16
2022-06-12,17
2022-06-19,17
2022-06-26,15
2022-07-03,14
2022-07-10,16
2022-07-17,17
2022-07-24,17
2022-07-31,17
2022-08-07,17
2022-08-14,18
2022-08-21,15
2022-08-28,14
2022-09-04,14
2022-09-11,20
2022-09-18,17
2022-09-25,19
2022-10-02,20
2022-10-09,23
2022-10-16,20
2022-10-23,19
2022-10-30,21
2022-11-06,18
2022-11-13,17
2022-11-20,13
2022-11-27,18
2022-12-04,17
2022-12-11,15
2022-12-18,16
2022-12-25,16
2023-01-01,20
2023-01-08,18
2023-01-15,18
2023-01-22,18
2023-01-29,18
2023-02-05,18
2023-02-12,20
2023-02-19,20
2023-02-26,18
2023-03-05,18
2023-03-12,18
2023-03-19,23
2023-03-26,21
2023-04-02,18
2023-04-09,20
2023-04-16,19
2023-04-23,17
2023-04-30,20
2023-05-07,17
2023-05-14,19
2023-05-21,20
2023-05-28,18
2023-06-04,19
2023-06-11,22
2023-06-18,19
2023-06-25,19
2023-07-02,18
2023-07-09,21
2023-07-16,20
2023-07-23,21
2023-07-30,28
2023-08-06,26
2023-08-13,26
2023-08-20,23
2023-08-27,27
2023-09-03,24
2023-09-10,31
2023-09-17,35
2023-09-24,39
2023-10-01,38
2023-10-08,29
2023-10-15,28
2023-10-22,25
2023-10-29,63
2023-11-05,40
2023-11-12,31
2023-11-19,22
2023-11-26,24
2023-12-03,28
2023-12-10,27
2023-12-17,25
2023-12-24,22
2023-12-31,27
2024-01-07,26
2024-01-14,27
2024-01-21,28
2024-01-28,29
2024-02-04,37
2024-02-11,38
2024-02-18,40
2024-02-25,35
2024-03-03,28
2024-03-10,32
2024-03-17,29
2024-03-24,27
2024-03-31,26
2024-04-07,28
2024-04-14,27
2024-04-21,26
2024-04-28,24
2024-05-05,31
2024-05-12,24
2024-05-19,27
2024-05-26,30
2024-06-02,26
2024-06-09,27
2024-06-16,24
2024-06-23,25
2024-06-30,25
2024-07-07,27
2024-07-14,28
2024-07-21,25
2024-07-28,26
2024-08-04,32
2024-08-11,25
2024-08-18,24
2024-08-25,21
2024-09-01,21
2024-09-08,24
2024-09-15,26
2024-09-22,23
2024-09-29,21
2024-10-06,21
2024-10-13,25
2024-10-20,22
2024-10-27,24
2024-11-03,38
2024-11-10,29
2024-11-17,25
2024-11-24,21
2024-12-01,27
2024-12-08,27
2024-12-15,36
2024-12-22,29
2024-12-29,31
2025-01-05,35
2025-01-12,32
2025-01-19,29
2025-01-26,33
2025-02-02,30
2025-02-09,29
2025-02-16,28
2025-02-23,33
2025-03-02,28
2025-03-09,29
2025-03-16,26
2025-03-23,23
2025-03-30,27
2025-04-06,38
2025-04-13,23
2025-04-20,25
2025-04-27,25
2025-05-04,27
2025-05-11,28
2025-05-18,25
2025-05-25,24
2025-06-01,28
2025-06-08,26
2025-06-15,24
2025-06-22,26
2025-06-29,25
2025-07-06,27
2025-07-13,33
2025-07-20,31
2025-07-27,41
2025-08-03,81
2025-08-10,100
2025-08-17,80
2025-08-24,61
2025-08-31,68
2025-09-07,71
2025-09-14,61
2025-09-21,60
2025-09-28,59
2025-10-05,47
2025-10-12,46
2025-10-19,47
2025-10-26,50
2025-11-02,61
2025-11-09,56
2025-11-16,52
2025-11-23,58
2025-11-30,62
2025-12-07,57
2025-12-14,54
2025-12-21,45
2025-12-28,43
2026-01-04,47
2026-01-11,55
2026-01-18,55
2026-01-25,71
2026-02-01,68
2026-02-08,68
2026-02-15,64
2026-02-22,73
2026-03-01,66
2026-03-08,61
2026-03-15,62
2026-03-22,65
2026-03-29,73
2026-04-05,78
2026-04-12,87
2026-04-19,65
2026-04-26,60
2026-05-03,86
2026-05-10,83
2026-05-17,63
2026-05-24,71
2026-05-31,68
2026-06-07,77
2026-06-14,89
2026-06-21,75
2026-06-28,69
2026-07-05,61
2026-07-12,41
2026-07-19,34
2026-07-26,35
