date,search_interest
2021-08-01,9
2021-08-08,10
2021-08-15,9
2021-08-22,11
2021-08-29,10
2021-09-05,10
2021-09-12,10
2021-09-19,9
2021-09-26,9
2021-10-03,8
2021-10-10,7
2021-10-17,9
2021-10-24,10
2021-10-31,12
2021-11-07,13
2021-11-14,10
2021-11-21,7
2021-11-28,10
2021-12-05,12
2021-12-12,10
2021-12-19,10
2021-12-26,9
2022-01-02,9
2022-01-09,10
2022-01-16,9
2022-01-23,10
2022-01-30,9
2022-02-06,9
2022-02-13,14
2022-02-20,8
2022-02-27,10
2022-03-06,11
2022-03-13,8
2022-03-20,11
2022-03-27,12
2022-04-03,11
2022-04-10,8
2022-04-17,9
2022-04-24,9
2022-05-01,10
2022-05-08,10
2022-05-15,9
2022-05-22,10
2022-05-29,9
2022-06-05,9
2022-06-12,12
2022-06-19,9
2022-06-26,8
2022-07-03,8
2022-07-10,8
2022-07-17,7
2022-07-24,8
2022-07-31,9
2022-08-07,12
2022-08-14,8
2022-08-21,9
2022-08-28,8
2022-09-04,7
2022-09-11,9
2022-09-18,7
2022-09-25,8
2022-10-02,10
2022-10-09,9
2022-10-16,11
2022-10-23,10
2022-10-30,8
2022-11-06,16
2022-11-13,10
2022-11-20,6
2022-11-27,8
2022-12-04,17
2022-12-11,11
2022-12-18,9
2022-12-25,9
2023-01-01,11
2023-01-08,9
2023-01-15,10
2023-01-22,12
2023-01-29,11
2023-02-05,12
2023-02-12,12
2023-02-19,9
2023-02-26,8
2023-03-05,7
2023-03-12,7
2023-03-19,11
2023-03-26,8
2023-04-02,8
2023-04-09,8
2023-04-16,10
2023-04-23,10
2023-04-30,11
2023-05-07,12
2023-05-14,7
2023-05-21,7
2023-05-28,6
2023-06-04,7
2023-06-11,9
2023-06-18,8
2023-06-25,9
2023-07-02,7
2023-07-09,10
2023-07-16,9
2023-07-23,8
2023-07-30,12
2023-08-06,10
2023-08-13,11
2023-08-20,7
2023-08-27,8
2023-09-03,7
2023-09-10,9
2023-09-17,7
2023-09-24,7
2023-10-01,8
2023-10-08,8
2023-10-15,9
2023-10-22,8
2023-10-29,14
2023-11-05,11
2023-11-12,10
2023-11-19,6
2023-11-26,10
2023-12-03,9
2023-12-10,9
2023-12-17,9
2023-12-24,6
2023-12-31,7
2024-01-07,9
2024-01-14,10
2024-01-21,11
2024-01-28,7
2024-02-04,9
2024-02-11,15
2024-02-18,10
2024-02-25,10
2024-03-03,11
2024-03-10,9
2024-03-17,9
2024-03-24,7
2024-03-31,9
2024-04-07,8
2024-04-14,9
2024-04-21,9
2024-04-28,12
2024-05-05,8
2024-05-12,10
2024-05-19,11
2024-05-26,8
2024-06-02,11
2024-06-09,9
2024-06-16,14
2024-06-23,8
2024-06-30,9
2024-07-07,12
2024-07-14,10
2024-07-21,11
2024-07-28,13
2024-08-04,11
2024-08-11,10
2024-08-18,11
2024-08-25,12
2024-09-01,11
2024-09-08,13
2024-09-15,13
2024-09-22,11
2024-09-29,12
2024-10-06,10
2024-10-13,10
2024-10-20,9
2024-10-27,13
2024-11-03,14
2024-11-10,15
2024-11-17,11
2024-11-24,8
2024-12-01,12
2024-12-08,11
2024-12-15,11
2024-12-22,10
2024-12-29,7
2025-01-05,9
2025-01-12,10
2025-01-19,12
2025-01-26,13
2025-02-02,15
2025-02-09,22
2025-02-16,12
2025-02-23,12
2025-03-02,26
2025-03-09,17
2025-03-16,12
2025-03-23,15
2025-03-30,15
2025-04-06,16
2025-04-13,13
2025-04-20,13
2025-04-27,18
2025-05-04,12
2025-05-11,15
2025-05-18,11
2025-05-25,11
2025-06-01,14
2025-06-08,14
2025-06-15,15
2025-06-22,13
2025-06-29,12
2025-07-06,16
2025-07-13,16
2025-07-20,19
2025-07-27,27
2025-08-03,31
2025-08-10,32
2025-08-17,32
2025-08-24,25
2025-08-31,27
2025-09-07,27
2025-09-14,28
2025-09-21,30
2025-09-28,39
2025-10-05,26
2025-10-12,29
2025-10-19,38
2025-10-26,71
2025-11-02,48
2025-11-09,52
2025-11-16,48
2025-11-23,42
2025-11-30,40
2025-12-07,36
2025-12-14,37
2025-12-21,16
2025-12-28,19
2026-01-04,26
2026-01-11,32
2026-01-18,31
2026-01-25,36
2026-02-01,42
2026-02-08,60
2026-02-15,56
2026-02-22,53
2026-03-01,38
2026-03-08,49
2026-03-15,51
2026-03-22,42
2026-03-29,40
2026-04-05,39
2026-04-12,42
2026-04-19,50
2026-04-26,55
2026-05-03,54
2026-05-10,66
2026-05-17,32
2026-05-24,36
2026-05-31,42
2026-06-07,44
2026-06-14,41
2026-06-21,100
2026-06-28,59
2026-07-05,44
2026-07-12,34
2026-07-19,35
2026-07-26,54
